| ID | Date       | Approx Time | Location                  | District      | Lat    | Lon    |
| 45 | 18-05-2022 | 15:00       | Pauri forest division     | Pauri Garhwal | 29.840 | 78.680 |
| 46 | 06-04-2023 | 13:00       | Almora forests            | Almora        | 29.597 | 79.659 |
| 47 | 17-04-2023 | 14:20       | Nainital forest slopes    | Nainital      | 29.392 | 79.454 |
| 48 | 29-04-2023 | 15:10       | Tehri forests             | Tehri         | 30.375 | 78.480 |
| 49 | 07-05-2023 | 13:40       | Champawat forests         | Champawat     | 29.336 | 80.091 |
| 50 | 16-05-2023 | 14:30       | Pithoragarh forests       | Pithoragarh   | 29.583 | 80.218 |
| 51 | 03-04-2024 | 12:50       | Almora forests            | Almora        | 29.597 | 79.659 |
| 52 | 14-04-2024 | 13:40       | Nainital forests          | Nainital      | 29.392 | 79.454 |
| 53 | 24-04-2024 | 14:20       | Pauri forests             | Pauri Garhwal | 29.840 | 78.680 |
| 54 | 02-05-2024 | 15:00       | Bageshwar forests         | Bageshwar     | 29.838 | 79.771 |
| 55 | 10-05-2024 | 15:40       | Champawat forests         | Champawat     | 29.336 | 80.091 |
| 56 | 16-05-2024 | 14:30       | Tehri forests             | Tehri         | 30.375 | 78.480 |
| 57 | 04-04-2025 | 13:10       | Almora ridge forest       | Almora        | 29.597 | 79.659 |
| 58 | 15-04-2025 | 14:20       | Nainital forests          | Nainital      | 29.392 | 79.454 |
| 59 | 25-04-2025 | 15:30       | Pauri forests             | Pauri Garhwal | 29.840 | 78.680 |
| 60 | 08-05-2025 | 14:40       | Champawat forests         | Champawat     | 29.336 | 80.091 |
