Month,Rain_7d_Sum,Temp_7d_Avg,Fire_Danger_Index,Max_Temperature_C,Max_Humidity_pct,Total_Rainfall_mm,Max_Wind_Speed_kmh,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI
1,0.0,14.642857142857142,1.5,16.2,92,0.0,8.6,1699.9,11.0,208.6,0.4533
1,0.0,14.5,0.92,12.5,100,0.0,7.4,1704.2,11.1,210.1,0.4638
1,0.0,14.385714285714286,1.05,12.9,100,0.0,8.2,1701.7,11.1,209.7,0.4317
1,13.1,14.400000000000002,2.27,14.5,100,13.1,15.8,1702.1,11.5,211.0,0.4345
1,18.0,14.185714285714287,1.09,11.0,98,4.9,9.8,1699.9,10.6,208.8,0.4747
1,18.0,13.542857142857143,1.2,11.3,100,0.0,10.7,1701.2,11.1,211.2,0.4247
1,18.1,12.757142857142858,0.92,10.9,100,0.1,8.5,1702.2,10.8,209.0,0.4565
1,18.1,12.071428571428571,1.13,11.4,100,0.0,10.0,1700.3,11.1,209.5,0.4643
1,18.1,12.214285714285714,1.39,13.5,93,0.0,9.7,1702.6,11.1,211.1,0.4626
1,18.1,12.585714285714285,1.98,15.5,74,0.0,9.6,1701.1,10.7,210.6,0.4211
1,5.0,12.942857142857141,2.53,17.0,81,0.0,12.2,1701.6,10.7,208.5,0.4397
1,0.1,13.799999999999999,1.97,17.0,88,0.0,10.3,1701.1,11.2,211.3,0.4543
2,0.1,14.657142857142857,1.94,17.3,88,0.0,10.0,1704.8,11.0,210.1,0.4561
2,0.0,15.428571428571429,1.66,16.3,95,0.0,9.8,1702.0,10.9,207.4,0.4449
2,0.0,15.785714285714286,1.22,13.9,95,0.0,8.4,1700.4,11.2,209.0,0.4346
2,0.0,15.985714285714286,1.54,14.9,92,0.0,9.6,1703.2,11.2,209.5,0.4409
2,0.0,15.985714285714286,1.28,15.5,90,0.0,7.5,1700.2,10.8,208.6,0.4357
2,0.0,15.942857142857141,2.45,16.7,76,0.0,11.3,1702.3,10.7,211.6,0.4264
2,0.0,15.614285714285714,1.86,14.7,86,0.0,11.0,1699.1,10.6,209.6,0.4405
2,0.0,15.014285714285716,1.31,13.1,96,0.0,9.7,1700.0,11.0,210.6,0.4727
2,0.0,14.571428571428571,1.39,13.2,95,0.0,10.1,1702.3,10.6,210.2,0.4408
2,0.0,14.714285714285714,1.47,14.9,83,0.0,8.3,1703.1,11.0,210.8,0.4223
2,0.2,14.928571428571429,2.64,16.4,73,0.2,11.9,1702.3,11.4,212.0,0.4396
2,10.7,14.014285714285714,0.88,9.1,86,10.5,8.4,1701.8,10.9,210.8,0.4709
2,11.899999999999999,13.385714285714286,1.26,12.3,89,1.2,9.2,1701.5,10.8,212.1,0.4211
2,11.899999999999999,13.457142857142857,1.55,15.2,91,0.0,9.4,1699.8,11.6,210.8,0.445
2,11.899999999999999,13.914285714285713,2.0,16.3,87,0.0,10.8,1700.9,11.5,210.2,0.4561
2,11.899999999999999,14.328571428571431,1.47,16.1,93,0.0,8.6,1701.3,10.8,210.4,0.4279
2,11.899999999999999,14.385714285714286,1.71,15.3,100,0.0,11.3,1703.6,11.0,206.8,0.4479
2,11.7,14.214285714285714,1.57,15.2,95,0.0,9.9,1702.5,11.1,209.5,0.4313
2,1.2,15.271428571428572,1.41,16.5,97,0.0,8.4,1699.4,11.1,209.8,0.4266
2,0.0,15.87142857142857,1.74,16.5,95,0.0,10.1,1702.5,11.5,210.5,0.4543
2,0.0,16.214285714285715,1.87,17.6,97,0.0,10.4,1701.4,11.0,210.0,0.4723
2,0.1,16.45714285714286,2.15,18.0,96,0.1,11.6,1701.0,11.1,210.4,0.4392
2,0.1,16.885714285714283,1.77,19.1,97,0.0,9.1,1702.9,11.2,208.4,0.4537
2,1.7000000000000002,17.142857142857142,2.18,17.1,72,1.6,9.3,1703.5,11.4,208.1,0.4523
2,3.8000000000000003,17.42857142857143,2.09,17.2,93,2.1,11.4,1703.4,11.3,208.6,0.4476
2,3.8000000000000003,17.685714285714287,1.83,18.3,91,0.0,9.2,1700.7,11.2,211.9,0.4347
2,3.8000000000000003,17.914285714285715,1.54,18.1,94,0.0,8.1,1701.5,10.5,208.5,0.4298
2,3.8000000000000003,17.885714285714286,1.63,17.4,95,0.0,9.0,1702.5,10.9,209.1,0.433
3,3.7,18.214285714285715,2.07,20.3,94,0.0,9.7,1703.5,11.2,210.1,0.4423
3,3.7,18.32857142857143,2.26,19.9,95,0.0,10.9,1701.3,11.1,208.1,0.4387
3,2.6,18.74285714285714,2.26,20.0,85,0.5,9.7,1701.7,11.2,209.0,0.4278
3,7.4,18.74285714285714,2.33,17.2,87,6.9,11.9,1700.3,11.6,210.8,0.4419
3,9.8,18.47142857142857,1.96,16.4,95,2.4,11.5,1700.2,10.6,209.5,0.4355
3,9.8,18.357142857142858,1.69,17.3,89,0.0,8.8,1703.2,11.3,212.0,0.4534
3,9.8,18.571428571428573,2.29,18.9,85,0.0,10.4,1704.0,10.9,208.0,0.4391
3,9.8,18.32857142857143,2.0,18.6,95,0.0,10.3,1701.9,11.3,209.6,0.4577
3,9.8,18.3,3.08,19.7,91,0.0,14.4,1703.5,11.0,209.5,0.4484
3,9.3,18.414285714285715,3.53,20.8,78,0.0,13.4,1702.5,11.6,210.0,0.4376
3,2.5,18.88571428571429,2.5,20.5,76,0.1,9.4,1701.0,11.0,208.5,0.4425
3,0.1,19.542857142857144,3.14,21.0,80,0.0,12.1,1702.5,10.8,209.3,0.443
3,0.1,20.3,3.24,22.6,80,0.0,11.6,1704.3,11.1,210.9,0.4475
3,0.2,20.814285714285713,2.54,22.5,83,0.1,9.5,1701.9,11.1,209.7,0.4504
3,9.0,20.542857142857144,2.36,16.7,79,8.8,11.3,1704.3,11.3,208.7,0.4382
3,11.1,20.37142857142857,2.65,18.5,87,2.1,12.6,1698.1,11.1,212.5,0.4414
3,11.9,20.014285714285712,2.81,18.3,70,0.8,10.9,1703.2,11.7,210.1,0.4467
3,11.8,20.057142857142857,3.05,20.8,72,0.0,10.7,1702.1,11.0,210.7,0.4006
3,11.8,20.028571428571432,2.93,20.8,75,0.0,10.7,1701.6,11.0,210.9,0.4533
3,11.8,20.042857142857144,3.35,22.7,81,0.0,12.1,1702.1,10.8,209.9,0.4307
3,22.8,19.642857142857142,2.31,19.7,92,11.1,10.9,1699.0,11.0,209.1,0.4407
3,18.4,19.857142857142858,2.46,18.2,93,4.4,12.7,1701.7,11.1,210.2,0.4348
3,16.299999999999997,19.985714285714288,2.19,19.4,85,0.0,9.7,1702.5,11.1,209.2,0.4562
3,15.9,20.414285714285715,2.3,21.3,87,0.4,9.5,1704.2,11.0,210.4,0.4604
3,17.5,20.514285714285712,2.42,21.5,85,1.6,9.7,1701.2,10.8,209.8,0.4433
3,17.5,20.942857142857143,3.6,23.8,77,0.0,11.8,1700.8,10.7,211.2,0.4435
3,17.5,21.2,3.6,24.5,86,0.0,12.8,1701.2,10.9,208.6,0.4444
3,6.7,21.814285714285717,4.61,24.0,76,0.3,14.8,1703.4,11.3,210.9,0.4448
3,3.4000000000000004,22.5,3.1,23.0,71,1.1,9.7,1702.5,11.4,210.7,0.46
3,4.1,22.671428571428574,2.73,20.6,70,0.7,9.4,1701.2,11.0,209.7,0.4902
3,3.7,22.5,3.07,20.1,73,0.0,11.3,1702.8,10.7,210.9,0.4424
4,2.1,22.428571428571427,3.3,21.0,76,0.0,12.1,1702.1,11.0,210.5,0.4535
4,2.1,22.17142857142857,2.76,22.0,86,0.0,10.9,1703.5,11.6,210.8,0.4323
4,3.2,21.785714285714285,2.44,21.8,83,1.1,9.4,1700.9,11.3,210.7,0.4337
4,4.7,21.571428571428573,2.15,22.5,87,1.8,8.4,1701.5,11.2,210.1,0.4297
4,5.6,21.614285714285717,3.36,23.3,85,2.0,12.4,1701.4,11.3,209.3,0.4651
4,8.5,21.914285714285715,3.23,22.7,82,3.6,11.8,1699.8,11.5,209.3,0.4556
4,15.3,21.58571428571429,1.38,17.8,88,6.8,6.9,1702.4,10.7,209.7,0.4392
4,26.0,21.6,2.27,21.1,93,10.7,10.1,1702.4,10.9,211.0,0.4482
4,27.2,21.357142857142858,1.57,20.3,91,1.2,7.1,1702.0,10.8,210.8,0.4565
4,26.7,21.157142857142855,1.61,20.4,93,0.6,7.4,1701.6,11.2,211.2,0.4629
4,28.599999999999998,20.62857142857143,2.2,18.8,93,3.7,11.0,1699.9,11.0,211.3,0.4511
4,29.7,20.2,1.58,20.3,93,3.1,7.3,1701.4,11.2,209.7,0.4464
4,26.1,19.900000000000002,1.9,20.6,88,0.0,8.2,1701.5,10.8,212.4,0.4648
4,19.3,20.614285714285717,4.21,22.8,71,0.0,13.3,1700.8,11.4,209.9,0.4284
4,8.6,21.071428571428573,3.29,24.3,67,0.0,9.2,1701.8,11.0,209.4,0.4162
4,8.4,21.52857142857143,4.27,23.5,64,1.0,11.8,1702.6,11.2,210.4,0.4638
4,8.9,22.0,4.46,23.7,66,1.1,12.6,1704.8,11.4,210.6,0.4383
4,5.2,22.871428571428574,4.91,24.9,69,0.0,13.8,1702.3,11.3,209.1,0.4651
4,2.1,23.571428571428573,6.62,25.2,66,0.0,17.6,1702.4,11.1,209.8,0.4738
4,3.5,24.02857142857143,3.57,23.8,71,1.4,10.8,1701.9,11.2,209.5,0.4728
4,7.2,24.099999999999998,3.23,23.3,79,3.7,11.1,1699.1,11.5,210.2,0.3998
4,7.2,24.0,4.1,23.6,64,0.0,11.3,1702.0,11.2,211.0,0.457
4,6.8,24.057142857142857,4.07,23.9,56,0.6,9.7,1702.1,10.8,209.7,0.4374
4,5.699999999999999,24.228571428571428,4.55,24.9,62,0.0,11.5,1705.7,11.2,210.7,0.4352
4,5.699999999999999,24.357142857142858,4.45,25.8,57,0.0,10.0,1701.7,11.0,208.3,0.4506
4,6.199999999999999,24.485714285714288,5.05,26.1,61,0.5,12.0,1702.5,10.3,211.1,0.4356
4,9.1,24.300000000000004,3.83,22.5,73,4.3,12.6,1701.9,11.1,209.5,0.4562
4,5.3999999999999995,24.357142857142858,2.37,23.7,83,0.0,8.4,1700.2,11.0,209.4,0.4648
4,5.999999999999999,24.285714285714285,3.64,23.1,79,0.6,12.6,1703.7,11.3,210.5,0.442
4,9.899999999999999,24.228571428571428,3.99,23.5,85,4.5,14.6,1703.1,10.8,210.5,0.4504
5,11.399999999999999,23.75714285714286,1.86,21.6,93,1.5,8.1,1703.2,10.5,209.9,0.4381
5,14.2,23.157142857142855,1.85,21.6,91,2.8,7.9,1700.6,11.1,208.9,0.452
5,14.2,22.5,2.4,21.5,93,0.5,10.5,1704.1,11.1,209.4,0.4663
5,13.2,22.3,2.22,21.1,99,3.3,10.5,1699.9,11.0,210.1,0.4511
5,13.799999999999999,22.242857142857144,4.08,23.3,84,0.6,14.9,1702.9,11.0,210.6,0.4432
5,13.299999999999999,22.62857142857143,4.58,25.8,75,0.1,13.5,1705.3,10.7,209.0,0.4647
5,8.9,22.75714285714286,3.69,24.4,73,0.1,11.2,1700.5,11.0,209.2,0.4389
5,13.1,22.257142857142856,2.78,18.1,90,5.7,14.0,1701.2,10.9,210.3,0.4393
5,14.4,22.428571428571427,2.56,22.8,90,4.1,10.2,1702.1,11.3,209.9,0.435
5,13.899999999999999,22.82857142857143,2.86,24.3,72,0.0,8.6,1701.2,11.1,210.2,0.4215
5,10.6,23.557142857142857,3.22,26.2,77,0.0,9.6,1699.7,10.9,206.9,0.4321
5,10.0,23.942857142857143,3.48,26.0,85,0.0,11.5,1702.1,11.5,209.6,0.4458
5,12.7,23.928571428571427,3.81,25.7,84,2.8,12.6,1700.4,10.9,211.0,0.4484
5,18.7,23.528571428571432,2.75,21.6,87,6.1,11.2,1702.7,11.2,209.3,0.4305
5,13.299999999999999,24.371428571428574,2.72,24.0,89,0.3,10.2,1700.6,10.9,210.6,0.4373
5,9.899999999999999,24.714285714285715,4.01,25.2,87,0.7,14.0,1704.3,11.5,208.5,0.4166
5,11.5,24.971428571428568,3.66,26.1,81,1.6,11.5,1700.8,11.0,208.1,0.4778
5,16.799999999999997,24.7,2.78,24.3,82,5.3,9.5,1701.5,11.0,210.5,0.467
5,16.799999999999997,24.75714285714286,3.61,26.4,81,0.0,11.2,1703.2,11.0,209.9,0.4343
5,13.999999999999998,25.028571428571432,5.9,27.6,65,0.0,14.1,1700.2,11.1,209.6,0.4471
5,7.8999999999999995,26.17142857142857,8.03,29.6,51,0.0,14.1,1702.3,11.4,211.0,0.4318
5,7.6,26.985714285714284,7.16,29.7,50,0.0,12.3,1704.0,11.3,209.6,0.4604
5,8.899999999999999,27.52857142857143,5.44,29.0,63,2.0,12.0,1699.6,11.0,209.2,0.4546
5,8.6,27.82857142857143,4.77,28.2,67,1.3,11.5,1702.3,11.5,209.1,0.4253
5,3.299999999999999,28.485714285714288,5.15,28.9,63,0.0,11.4,1702.4,11.3,208.9,0.4304
5,3.299999999999999,28.91428571428571,6.41,29.4,54,0.0,12.0,1703.2,10.9,210.6,0.444
5,4.8999999999999995,29.014285714285712,5.09,28.3,54,1.6,9.9,1700.1,10.6,209.6,0.4658
5,7.499999999999999,28.75714285714286,5.56,27.8,57,2.6,11.6,1700.0,10.9,211.4,0.4393
5,9.6,28.071428571428573,4.88,24.9,77,2.1,15.3,1702.8,11.1,206.5,0.4646
5,9.399999999999999,27.642857142857142,3.32,26.0,82,1.8,10.6,1702.4,11.2,211.1,0.4497
5,11.999999999999998,27.142857142857142,2.83,24.7,87,3.9,10.1,1702.4,11.4,210.4,0.4325
6,18.099999999999998,26.514285714285712,2.61,24.5,90,6.1,9.7,1702.5,10.7,209.9,0.4387
6,24.299999999999997,25.685714285714287,2.03,23.6,93,6.2,8.1,1701.0,10.9,208.5,0.4545
6,23.8,25.02857142857143,2.37,23.7,90,1.1,9.1,1702.3,10.6,208.0,0.4576
6,22.299999999999997,24.685714285714283,2.71,25.4,87,1.1,9.4,1702.4,10.6,210.9,0.459
6,24.699999999999996,24.800000000000004,2.06,25.7,94,4.5,7.6,1700.9,10.8,210.3,0.4482
6,32.5,24.671428571428574,2.27,25.1,92,9.6,8.4,1704.8,11.1,210.3,0.4517
6,29.599999999999998,24.74285714285714,2.23,25.2,94,1.0,8.4,1702.7,11.2,209.9,0.4788
6,37.7,24.714285714285715,2.18,24.3,96,14.2,8.7,1700.2,10.7,211.0,0.4811
6,36.599999999999994,24.97142857142857,2.21,25.4,98,5.1,8.6,1703.0,10.8,209.3,0.4457
6,40.199999999999996,25.185714285714287,2.34,25.2,96,4.7,9.0,1700.5,10.5,209.6,0.4185
6,40.0,25.3,3.15,26.2,98,0.9,11.9,1703.2,11.1,209.8,0.4469
6,35.5,25.757142857142856,3.63,28.9,96,0.0,12.2,1703.7,10.8,209.7,0.4467
6,26.0,26.128571428571426,4.87,27.7,73,0.1,13.0,1700.8,11.5,211.6,0.4261
6,28.799999999999997,26.271428571428572,3.44,26.2,92,3.8,12.2,1703.4,11.1,208.5,0.4469
6,22.7,26.314285714285713,2.43,24.6,94,8.1,9.4,1702.6,10.9,207.7,0.4293
6,41.3,26.12857142857143,2.68,24.1,97,23.7,10.9,1703.2,10.8,208.3,0.4507
6,71.7,25.599999999999998,2.04,21.5,95,35.1,9.1,1704.8,10.6,210.8,0.4539
6,73.1,25.442857142857147,3.78,25.1,96,2.3,14.6,1701.6,10.6,209.9,0.4529
6,77.89999999999999,25.0,1.87,25.8,93,4.8,6.8,1700.9,10.8,208.1,0.4598
6,79.0,24.75714285714286,2.51,26.0,89,1.2,8.7,1700.7,10.8,210.1,0.452
6,76.9,24.97142857142857,3.24,27.7,82,1.7,9.7,1700.8,10.7,209.6,0.4568
6,68.9,25.385714285714283,3.29,27.5,81,0.1,9.8,1701.9,11.1,210.7,0.4644
6,45.20000000000001,25.985714285714288,3.79,28.3,90,0.0,12.2,1702.5,11.2,211.0,0.4384
6,10.299999999999999,26.742857142857144,2.44,26.8,89,0.2,8.2,1702.4,10.9,213.0,0.4428
6,8.0,27.22857142857143,3.36,28.5,89,0.0,10.6,1703.2,11.6,208.6,0.4397
6,12.600000000000001,27.314285714285713,2.64,26.4,94,9.4,9.5,1702.0,10.5,207.8,0.4338
6,32.400000000000006,27.057142857142857,2.32,24.2,97,21.0,9.4,1704.2,11.0,210.7,0.4405
6,45.800000000000004,26.585714285714285,3.34,24.4,97,15.1,13.4,1701.6,10.9,211.2,0.4575
6,51.9,26.014285714285716,3.03,23.5,99,6.2,12.9,1706.1,10.8,208.5,0.4559
6,58.2,25.285714285714285,2.08,23.2,97,6.3,8.8,1702.9,10.8,208.5,0.4196
7,83.9,24.8,2.34,23.4,100,25.9,10.1,1700.7,11.0,210.4,0.4707
7,115.4,24.057142857142853,2.33,23.3,100,31.5,10.1,1700.4,10.9,212.1,0.4577
7,117.80000000000001,23.7,1.54,23.9,100,11.8,6.5,1702.7,10.9,208.9,0.4484
7,110.0,23.557142857142853,2.44,23.2,98,13.2,10.4,1701.7,10.6,210.1,0.4243
7,95.0,23.842857142857138,2.75,26.4,96,0.1,10.1,1703.1,10.5,207.7,0.4272
7,89.0,24.157142857142855,2.34,25.7,100,0.2,9.2,1702.7,10.9,209.8,0.4675
7,82.7,24.514285714285712,2.01,25.7,100,0.0,7.9,1701.9,10.9,209.9,0.4601
7,59.2,24.728571428571428,2.64,24.9,96,2.4,10.3,1700.7,10.9,211.8,0.4619
7,46.599999999999994,24.685714285714287,2.09,23.0,98,18.9,9.0,1699.7,11.0,209.2,0.443
7,41.9,24.428571428571427,2.28,22.1,97,7.1,10.1,1701.3,10.8,210.8,0.4646
7,41.3,24.38571428571429,2.54,22.9,98,12.6,11.0,1703.3,10.9,209.1,0.4245
7,46.3,23.914285714285715,2.45,23.1,98,5.1,10.5,1702.3,10.7,210.1,0.4265
7,59.6,23.314285714285713,1.74,21.5,99,13.5,8.1,1700.1,11.5,212.5,0.4601
7,66.2,22.785714285714285,1.9,22.0,100,6.6,8.7,1702.3,10.8,212.2,0.4312
7,68.8,22.571428571428573,2.11,23.4,99,5.0,9.0,1702.6,10.9,212.4,0.4444
7,56.900000000000006,22.457142857142856,1.91,22.2,98,7.0,8.5,1700.7,10.8,210.5,0.4184
7,56.1,22.685714285714287,2.84,23.7,100,6.3,12.1,1702.2,10.8,209.7,0.4023
7,57.4,22.61428571428571,1.83,22.4,98,13.9,8.1,1702.1,11.0,210.3,0.4297
7,61.599999999999994,22.87142857142857,2.24,24.9,98,9.3,8.9,1700.3,11.0,210.6,0.4393
7,54.699999999999996,23.185714285714283,1.67,23.7,100,6.6,7.1,1702.5,10.9,210.5,0.4311
7,57.3,23.4,2.35,23.5,99,9.2,10.0,1702.8,10.9,209.1,0.4543
7,63.599999999999994,23.085714285714285,1.89,21.2,100,11.3,9.0,1703.6,10.8,209.1,0.4602
7,70.19999999999999,23.3,2.22,23.7,96,13.6,9.1,1703.6,11.1,209.3,0.4542
7,65.8,23.52857142857143,2.61,25.3,97,1.9,10.1,1699.9,11.6,211.3,0.4277
7,77.2,23.442857142857143,1.72,21.8,99,25.3,7.9,1700.6,10.7,211.4,0.4529
7,98.8,23.042857142857144,1.57,22.1,99,30.9,7.1,1702.8,11.1,213.8,0.4266
7,119.39999999999999,22.7,0.86,21.3,100,27.2,4.1,1702.8,11.0,210.5,0.4729
7,342.4,22.25714285714286,1.62,20.4,100,232.2,8.0,1702.8,11.2,209.1,0.4457
7,476.69999999999993,22.54285714285714,1.77,23.2,100,145.6,7.7,1707.8,11.2,209.4,0.4322
7,468.0999999999999,22.357142857142858,2.04,22.4,100,5.0,9.2,1702.9,11.1,209.8,0.4458
7,474.9,21.699999999999996,1.05,20.7,100,8.7,5.1,1703.7,11.0,211.8,0.4475
8,455.09999999999997,21.785714285714285,1.73,22.4,100,5.5,7.8,1703.4,10.9,210.9,0.4556
8,428.9,21.942857142857143,1.7,23.2,97,4.7,7.2,1703.0,10.8,208.4,0.4167
8,443.5,21.771428571428572,1.95,20.1,100,41.8,9.8,1701.5,11.0,209.9,0.4346
8,244.7,21.857142857142858,1.37,21.0,100,33.4,6.6,1703.1,10.6,208.2,0.4522
8,183.0,21.38571428571429,1.79,19.9,99,83.9,9.0,1700.8,10.8,210.7,0.4567
8,206.0,21.099999999999998,0.97,20.4,100,28.0,4.8,1701.6,11.3,209.2,0.4941
8,210.9,21.271428571428572,1.1,21.9,99,13.6,5.0,1701.3,11.0,209.3,0.4657
8,207.10000000000002,21.37142857142857,1.61,23.1,98,1.7,6.9,1702.1,11.3,207.7,0.4347
8,209.1,21.32857142857143,2.2,22.9,100,6.7,9.7,1705.5,11.4,210.9,0.4716
8,183.9,21.642857142857142,2.1,22.3,100,16.6,9.5,1699.2,10.9,211.5,0.4537
8,159.9,21.742857142857144,2.04,21.7,99,9.4,9.4,1703.0,11.1,209.2,0.4655
8,108.7,21.857142857142858,1.48,20.7,100,32.7,7.2,1699.6,10.9,209.8,0.452
8,104.9,22.17142857142857,1.24,22.6,99,24.2,5.5,1701.3,10.8,209.4,0.4666
8,119.10000000000001,22.085714285714285,1.64,21.3,100,27.8,7.8,1703.6,10.7,209.7,0.4612
8,133.1,21.885714285714283,1.78,21.7,100,15.7,8.3,1702.1,11.3,209.0,0.4533
8,132.4,22.0,1.84,23.7,97,6.0,7.6,1700.4,11.1,208.7,0.4384
8,122.30000000000001,21.95714285714286,1.42,22.0,98,6.5,6.4,1700.9,11.6,211.6,0.4384
8,122.9,22.085714285714285,1.83,22.6,99,10.0,8.1,1703.0,11.3,206.8,0.4308
8,96.3,22.514285714285712,2.3,23.7,99,6.1,9.7,1700.9,10.8,210.6,0.4439
8,79.1,22.514285714285716,1.83,22.6,98,7.0,8.0,1702.3,11.3,210.3,0.4616
8,53.1,22.771428571428572,1.79,23.1,97,1.8,7.6,1702.1,10.9,212.0,0.4537
8,67.4,22.742857142857144,2.17,21.5,98,30.0,10.0,1701.0,11.4,209.7,0.4334
8,78.8,22.41428571428571,2.18,21.4,98,17.4,10.1,1705.2,10.9,209.6,0.4595
8,190.0,22.02857142857143,1.12,19.3,99,117.7,5.8,1703.0,10.7,209.0,0.4274
8,222.9,21.685714285714287,1.48,20.2,100,42.9,7.4,1699.0,10.8,210.4,0.45
8,262.1,21.300000000000004,1.25,21.0,100,45.3,6.0,1702.3,10.8,209.2,0.4659
8,270.2,21.114285714285717,1.33,21.3,98,15.1,6.2,1701.0,10.7,208.6,0.4274
8,281.4,20.985714285714288,1.73,22.2,99,13.0,7.8,1703.3,10.8,209.1,0.4476
8,258.7,21.0,2.12,21.6,98,7.3,9.7,1700.8,11.3,208.9,0.4345
8,246.89999999999998,21.057142857142857,1.92,21.8,100,5.6,8.9,1701.8,11.5,208.8,0.4694
8,147.3,21.142857142857142,1.44,19.9,100,18.1,7.3,1702.8,10.6,210.1,0.4787
9,123.19999999999999,21.400000000000002,2.13,22.0,97,18.8,9.5,1703.3,11.4,209.8,0.4533
9,80.80000000000001,21.5,1.95,21.7,99,2.9,9.0,1700.2,10.9,210.7,0.4582
9,80.5,21.628571428571426,2.04,22.2,100,14.8,9.3,1701.5,11.1,210.2,0.4655
9,79.5,21.599999999999998,1.59,22.0,100,12.0,7.3,1701.3,10.5,208.6,0.4565
9,73.80000000000001,21.842857142857145,1.48,23.3,100,1.6,6.4,1701.0,11.2,207.5,0.4326
9,72.20000000000002,22.2,1.88,24.3,100,4.0,7.8,1704.6,10.4,208.7,0.4383
9,59.6,22.514285714285712,2.6,22.1,100,5.5,11.9,1702.6,11.1,210.9,0.4382
9,49.5,22.557142857142853,1.5,22.3,97,8.7,6.6,1700.1,11.1,210.9,0.419
9,56.099999999999994,22.728571428571428,1.81,22.9,100,9.5,8.0,1703.4,11.1,211.2,0.4597
9,43.8,22.742857142857144,2.03,22.3,100,2.5,9.2,1705.2,10.8,211.0,0.4262
9,56.0,22.614285714285717,1.5,21.1,100,24.2,7.2,1703.5,11.2,211.3,0.4574
9,56.9,22.32857142857143,2.15,21.3,99,2.5,10.1,1699.7,11.1,210.5,0.4341
9,70.6,22.02857142857143,2.35,22.2,98,17.7,10.5,1701.3,10.9,212.2,0.4417
9,73.2,22.0,2.01,21.9,97,8.1,9.0,1703.9,11.2,210.4,0.4534
9,65.1,22.11428571428571,2.08,23.1,98,0.6,8.9,1700.9,11.0,212.4,0.4679
9,56.699999999999996,22.028571428571432,1.63,22.3,100,1.1,7.4,1702.7,11.2,209.2,0.458
9,54.2,22.17142857142857,2.01,23.3,100,0.0,8.7,1703.2,11.0,209.2,0.4432
9,30.2,22.5,2.04,23.4,100,0.2,8.8,1700.6,11.1,209.8,0.4445
9,30.4,22.842857142857138,1.84,23.7,97,2.7,7.6,1701.9,11.2,210.0,0.4273
9,21.9,22.885714285714283,1.55,22.5,99,9.2,6.9,1697.1,10.9,209.6,0.4546
9,16.4,22.914285714285715,2.3,22.1,99,2.6,10.4,1700.5,10.6,210.6,0.4438
9,34.6,22.485714285714288,1.46,20.1,97,18.8,7.1,1701.6,11.1,209.9,0.431
9,53.199999999999996,22.014285714285712,1.21,19.0,93,19.7,6.0,1700.1,11.4,209.3,0.4567
9,89.5,21.414285714285715,2.55,19.1,98,36.3,13.2,1704.4,11.1,209.5,0.4663
9,90.69999999999999,21.014285714285716,1.69,20.6,100,1.4,8.3,1699.9,11.1,211.5,0.4423
9,88.39999999999999,20.75714285714286,1.82,21.9,100,0.4,8.4,1701.3,11.0,210.4,0.4366
9,83.5,20.485714285714288,1.51,20.6,100,4.3,7.4,1702.2,11.2,208.0,0.4363
9,90.89999999999999,20.271428571428572,1.76,20.6,96,10.0,8.3,1704.2,10.9,211.8,0.451
9,72.39999999999999,20.585714285714285,1.72,22.3,96,0.3,7.5,1699.8,10.9,210.5,0.4271
