Month,Rain_7d_Sum,Temp_7d_Avg,Fire_Danger_Index,Max_Temperature_C,Max_Humidity_pct,Total_Rainfall_mm,Max_Wind_Speed_kmh,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI,Risk_Category,Risk_Level_Numeric
4,5.699999999999999,24.228571428571428,4.55,24.9,62,0.0,11.5,1705.7,11.2,210.7,0.4352,Low Risk,0
4,5.699999999999999,24.357142857142858,4.45,25.8,57,0.0,10.0,1701.7,11.0,208.3,0.4506,Low Risk,0
4,6.199999999999999,24.485714285714288,5.05,26.1,61,0.5,12.0,1702.5,10.3,211.1,0.4356,Moderate Risk,1
4,9.1,24.300000000000004,3.83,22.5,73,4.3,12.6,1701.9,11.1,209.5,0.4562,Low Risk,0
4,5.4,24.357142857142858,2.37,23.7,83,0.0,8.4,1700.2,11.0,209.4,0.4648,Low Risk,0
4,5.999999999999999,24.285714285714285,3.64,23.1,79,0.6,12.6,1703.7,11.3,210.5,0.442,Low Risk,0
4,9.9,24.228571428571428,3.99,23.5,85,4.5,14.6,1703.1,10.8,210.5,0.4504,Low Risk,0
5,11.4,23.75714285714286,1.86,21.6,93,1.5,8.1,1703.2,10.5,209.9,0.4381,Low Risk,0
5,14.2,23.15714285714285,1.85,21.6,91,2.8,7.9,1700.6,11.1,208.9,0.452,Low Risk,0
5,14.2,22.5,2.4,21.5,93,0.5,10.5,1704.1,11.1,209.4,0.4663,Low Risk,0
5,13.2,22.3,2.22,21.1,99,3.3,10.5,1699.9,11.0,210.1,0.4511,Low Risk,0
5,13.8,22.242857142857144,4.08,23.3,84,0.6,14.9,1702.9,11.0,210.6,0.4432,Low Risk,0
5,13.3,22.62857142857143,4.58,25.8,75,0.1,13.5,1705.3,10.7,209.0,0.4647,Low Risk,0
5,8.9,22.75714285714286,3.69,24.4,73,0.1,11.2,1700.5,11.0,209.2,0.4389,Low Risk,0
5,13.1,22.257142857142856,2.78,18.1,90,5.7,14.0,1701.2,10.9,210.3,0.4393,Low Risk,0
5,14.4,22.428571428571427,2.56,22.8,90,4.1,10.2,1702.1,11.3,209.9,0.435,Low Risk,0
5,13.9,22.82857142857143,2.86,24.3,72,0.0,8.6,1701.2,11.1,210.2,0.4215,Low Risk,0
5,10.6,23.557142857142857,3.22,26.2,77,0.0,9.6,1699.7,10.9,206.9,0.4321,Low Risk,0
5,10.0,23.942857142857143,3.48,26.0,85,0.0,11.5,1702.1,11.5,209.6,0.4458,Low Risk,0
5,12.7,23.928571428571427,3.81,25.7,84,2.8,12.6,1700.4,10.9,211.0,0.4484,Low Risk,0
5,18.7,23.528571428571432,2.75,21.6,87,6.1,11.2,1702.7,11.2,209.3,0.4305,Low Risk,0
5,13.3,24.371428571428574,2.72,24.0,89,0.3,10.2,1700.6,10.9,210.6,0.4373,Low Risk,0
5,9.9,24.714285714285715,4.01,25.2,87,0.7,14.0,1704.3,11.5,208.5,0.4166,Low Risk,0
5,11.5,24.971428571428568,3.66,26.1,81,1.6,11.5,1700.8,11.0,208.1,0.4778,Low Risk,0
5,16.799999999999997,24.7,2.78,24.3,82,5.3,9.5,1701.5,11.0,210.5,0.467,Low Risk,0
5,16.799999999999997,24.75714285714286,3.61,26.4,81,0.0,11.2,1703.2,11.0,209.9,0.4343,Low Risk,0
5,13.999999999999998,25.028571428571432,5.9,27.6,65,0.0,14.1,1700.2,11.1,209.6,0.4471,Moderate Risk,1
5,7.899999999999999,26.17142857142857,8.03,29.6,51,0.0,14.1,1702.3,11.4,211.0,0.4318,Moderate Risk,1
5,7.6,26.985714285714284,7.16,29.7,50,0.0,12.3,1704.0,11.3,209.6,0.4604,Moderate Risk,1
5,8.899999999999999,27.52857142857143,5.44,29.0,63,2.0,12.0,1699.6,11.0,209.2,0.4546,Moderate Risk,1
5,8.6,27.82857142857143,4.77,28.2,67,1.3,11.5,1702.3,11.5,209.1,0.4253,Low Risk,0
5,3.299999999999999,28.485714285714288,5.15,28.9,63,0.0,11.4,1702.4,11.3,208.9,0.4304,Moderate Risk,1
5,3.299999999999999,28.91428571428571,6.41,29.4,54,0.0,12.0,1703.2,10.9,210.6,0.444,Moderate Risk,1
5,4.9,29.014285714285712,5.09,28.3,54,1.6,9.9,1700.1,10.6,209.6,0.4658,Moderate Risk,1
5,7.499999999999999,28.75714285714286,5.56,27.8,57,2.6,11.6,1700.0,10.9,211.4,0.4393,Moderate Risk,1
5,9.6,28.071428571428573,4.88,24.9,77,2.1,15.3,1702.8,11.1,206.5,0.4646,Low Risk,0
5,9.4,27.642857142857142,3.32,26.0,82,1.8,10.6,1702.4,11.2,211.1,0.4497,Low Risk,0
5,11.999999999999998,27.142857142857142,2.83,24.7,87,3.9,10.1,1702.4,11.4,210.4,0.4325,Low Risk,0
6,18.1,26.514285714285712,2.61,24.5,90,6.1,9.7,1702.5,10.7,209.9,0.4387,Low Risk,0
6,24.3,25.685714285714287,2.03,23.6,93,6.2,8.1,1701.0,10.9,208.5,0.4545,Low Risk,0
6,23.8,25.02857142857143,2.37,23.7,90,1.1,9.1,1702.3,10.6,208.0,0.4576,Low Risk,0
6,22.3,24.685714285714283,2.71,25.4,87,1.1,9.4,1702.4,10.6,210.9,0.459,Low Risk,0
6,24.7,24.800000000000004,2.06,25.7,94,4.5,7.6,1700.9,10.8,210.3,0.4482,Low Risk,0
6,32.5,24.67142857142857,2.27,25.1,92,9.6,8.4,1704.8,11.1,210.3,0.4517,Low Risk,0
6,29.6,24.74285714285714,2.23,25.2,94,1.0,8.4,1702.7,11.2,209.9,0.4788,Low Risk,0
6,37.7,24.714285714285715,2.18,24.3,96,14.2,8.7,1700.2,10.7,211.0,0.4811,Low Risk,0
6,36.6,24.97142857142857,2.21,25.4,98,5.1,8.6,1703.0,10.8,209.3,0.4457,Low Risk,0
6,40.2,25.185714285714287,2.34,25.2,96,4.7,9.0,1700.5,10.5,209.6,0.4185,Low Risk,0
6,40.0,25.3,3.15,26.2,98,0.9,11.9,1703.2,11.1,209.8,0.4469,Low Risk,0
6,35.5,25.757142857142856,3.63,28.9,96,0.0,12.2,1703.7,10.8,209.7,0.4467,Low Risk,0
6,26.0,26.128571428571423,4.87,27.7,73,0.1,13.0,1700.8,11.5,211.6,0.4261,Low Risk,0
6,28.8,26.27142857142857,3.44,26.2,92,3.8,12.2,1703.4,11.1,208.5,0.4469,Low Risk,0
6,22.7,26.314285714285717,2.43,24.6,94,8.1,9.4,1702.6,10.9,207.7,0.4293,Low Risk,0
6,41.3,26.12857142857143,2.68,24.1,97,23.7,10.9,1703.2,10.8,208.3,0.4507,Low Risk,0
6,71.7,25.6,2.04,21.5,95,35.1,9.1,1704.8,10.6,210.8,0.4539,Low Risk,0
6,73.1,25.442857142857147,3.78,25.1,96,2.3,14.6,1701.6,10.6,209.9,0.4529,Low Risk,0
6,77.89999999999999,25.0,1.87,25.8,93,4.8,6.8,1700.9,10.8,208.1,0.4598,Low Risk,0
6,79.0,24.75714285714286,2.51,26.0,89,1.2,8.7,1700.7,10.8,210.1,0.452,Low Risk,0
6,76.9,24.97142857142857,3.24,27.7,82,1.7,9.7,1700.8,10.7,209.6,0.4568,Low Risk,0
6,68.9,25.385714285714283,3.29,27.5,81,0.1,9.8,1701.9,11.1,210.7,0.4644,Low Risk,0
6,45.20000000000001,25.985714285714288,3.79,28.3,90,0.0,12.2,1702.5,11.2,211.0,0.4384,Low Risk,0
6,10.3,26.742857142857144,2.44,26.8,89,0.2,8.2,1702.4,10.9,213.0,0.4428,Low Risk,0
6,8.0,27.22857142857143,3.36,28.5,89,0.0,10.6,1703.2,11.6,208.6,0.4397,Low Risk,0
6,12.6,27.314285714285717,2.64,26.4,94,9.4,9.5,1702.0,10.5,207.8,0.4338,Low Risk,0
6,32.400000000000006,27.057142857142857,2.32,24.2,97,21.0,9.4,1704.2,11.0,210.7,0.4405,Low Risk,0
6,45.8,26.585714285714285,3.34,24.4,97,15.1,13.4,1701.6,10.9,211.2,0.4575,Low Risk,0
6,51.9,26.01428571428572,3.03,23.5,99,6.2,12.9,1706.1,10.8,208.5,0.4559,Low Risk,0
6,58.2,25.285714285714285,2.08,23.2,97,6.3,8.8,1702.9,10.8,208.5,0.4196,Low Risk,0
7,83.9,24.8,2.34,23.4,100,25.9,10.1,1700.7,11.0,210.4,0.4707,Low Risk,0
7,115.4,24.057142857142853,2.33,23.3,100,31.5,10.1,1700.4,10.9,212.1,0.4577,Low Risk,0
7,117.8,23.7,1.54,23.9,100,11.8,6.5,1702.7,10.9,208.9,0.4484,Low Risk,0
7,110.0,23.557142857142853,2.44,23.2,98,13.2,10.4,1701.7,10.6,210.1,0.4243,Low Risk,0
7,95.0,23.842857142857135,2.75,26.4,96,0.1,10.1,1703.1,10.5,207.7,0.4272,Low Risk,0
7,89.0,24.15714285714285,2.34,25.7,100,0.2,9.2,1702.7,10.9,209.8,0.4675,Low Risk,0
7,82.7,24.514285714285712,2.01,25.7,100,0.0,7.9,1701.9,10.9,209.9,0.4601,Low Risk,0
7,59.2,24.728571428571428,2.64,24.9,96,2.4,10.3,1700.7,10.9,211.8,0.4619,Low Risk,0
7,46.6,24.685714285714287,2.09,23.0,98,18.9,9.0,1699.7,11.0,209.2,0.443,Low Risk,0
7,41.9,24.428571428571427,2.28,22.1,97,7.1,10.1,1701.3,10.8,210.8,0.4646,Low Risk,0
7,41.3,24.38571428571429,2.54,22.9,98,12.6,11.0,1703.3,10.9,209.1,0.4245,Low Risk,0
7,46.3,23.914285714285715,2.45,23.1,98,5.1,10.5,1702.3,10.7,210.1,0.4265,Low Risk,0
7,59.6,23.314285714285717,1.74,21.5,99,13.5,8.1,1700.1,11.5,212.5,0.4601,Low Risk,0
7,66.2,22.785714285714285,1.9,22.0,100,6.6,8.7,1702.3,10.8,212.2,0.4312,Low Risk,0
7,68.8,22.571428571428573,2.11,23.4,99,5.0,9.0,1702.6,10.9,212.4,0.4444,Low Risk,0
7,56.900000000000006,22.457142857142856,1.91,22.2,98,7.0,8.5,1700.7,10.8,210.5,0.4184,Low Risk,0
7,56.1,22.685714285714287,2.84,23.7,100,6.3,12.1,1702.2,10.8,209.7,0.4023,Low Risk,0
7,57.4,22.61428571428571,1.83,22.4,98,13.9,8.1,1702.1,11.0,210.3,0.4297,Low Risk,0
7,61.6,22.87142857142857,2.24,24.9,98,9.3,8.9,1700.3,11.0,210.6,0.4393,Low Risk,0
7,54.7,23.185714285714283,1.67,23.7,100,6.6,7.1,1702.5,10.9,210.5,0.4311,Low Risk,0
7,57.3,23.4,2.35,23.5,99,9.2,10.0,1702.8,10.9,209.1,0.4543,Low Risk,0
7,63.6,23.085714285714285,1.89,21.2,100,11.3,9.0,1703.6,10.8,209.1,0.4602,Low Risk,0
7,70.19999999999999,23.3,2.22,23.7,96,13.6,9.1,1703.6,11.1,209.3,0.4542,Low Risk,0
7,65.8,23.52857142857143,2.61,25.3,97,1.9,10.1,1699.9,11.6,211.3,0.4277,Low Risk,0
7,77.2,23.442857142857143,1.72,21.8,99,25.3,7.9,1700.6,10.7,211.4,0.4529,Low Risk,0
7,98.8,23.042857142857144,1.57,22.1,99,30.9,7.1,1702.8,11.1,213.8,0.4266,Low Risk,0
7,119.4,22.7,0.86,21.3,100,27.2,4.1,1702.8,11.0,210.5,0.4729,Low Risk,0
7,342.4,22.25714285714286,1.62,20.4,100,232.2,8.0,1702.8,11.2,209.1,0.4457,Low Risk,0
7,476.69999999999993,22.54285714285714,1.77,23.2,100,145.6,7.7,1707.8,11.2,209.4,0.4322,Low Risk,0
7,468.0999999999999,22.357142857142858,2.04,22.4,100,5.0,9.2,1702.9,11.1,209.8,0.4458,Low Risk,0
7,474.9,21.7,1.05,20.7,100,8.7,5.1,1703.7,11.0,211.8,0.4475,Low Risk,0
8,455.1,21.785714285714285,1.73,22.4,100,5.5,7.8,1703.4,10.9,210.9,0.4556,Low Risk,0
8,428.9,21.942857142857143,1.7,23.2,97,4.7,7.2,1703.0,10.8,208.4,0.4167,Low Risk,0
8,443.5,21.77142857142857,1.95,20.1,100,41.8,9.8,1701.5,11.0,209.9,0.4346,Low Risk,0
8,244.7,21.857142857142858,1.37,21.0,100,33.4,6.6,1703.1,10.6,208.2,0.4522,Low Risk,0
8,183.0,21.38571428571429,1.79,19.9,99,83.9,9.0,1700.8,10.8,210.7,0.4567,Low Risk,0
8,206.0,21.1,0.97,20.4,100,28.0,4.8,1701.6,11.3,209.2,0.4941,Low Risk,0
8,210.9,21.27142857142857,1.1,21.9,99,13.6,5.0,1701.3,11.0,209.3,0.4657,Low Risk,0
8,207.1,21.37142857142857,1.61,23.1,98,1.7,6.9,1702.1,11.3,207.7,0.4347,Low Risk,0
8,209.1,21.32857142857143,2.2,22.9,100,6.7,9.7,1705.5,11.4,210.9,0.4716,Low Risk,0
8,183.9,21.642857142857142,2.1,22.3,100,16.6,9.5,1699.2,10.9,211.5,0.4537,Low Risk,0
8,159.9,21.742857142857144,2.04,21.7,99,9.4,9.4,1703.0,11.1,209.2,0.4655,Low Risk,0
8,108.7,21.857142857142858,1.48,20.7,100,32.7,7.2,1699.6,10.9,209.8,0.452,Low Risk,0
8,104.9,22.17142857142857,1.24,22.6,99,24.2,5.5,1701.3,10.8,209.4,0.4666,Low Risk,0
8,119.1,22.085714285714285,1.64,21.3,100,27.8,7.8,1703.6,10.7,209.7,0.4612,Low Risk,0
8,133.1,21.885714285714283,1.78,21.7,100,15.7,8.3,1702.1,11.3,209.0,0.4533,Low Risk,0
8,132.4,22.0,1.84,23.7,97,6.0,7.6,1700.4,11.1,208.7,0.4384,Low Risk,0
8,122.3,21.95714285714286,1.42,22.0,98,6.5,6.4,1700.9,11.6,211.6,0.4384,Low Risk,0
8,122.9,22.085714285714285,1.83,22.6,99,10.0,8.1,1703.0,11.3,206.8,0.4308,Low Risk,0
8,96.3,22.514285714285712,2.3,23.7,99,6.1,9.7,1700.9,10.8,210.6,0.4439,Low Risk,0
8,79.1,22.51428571428572,1.83,22.6,98,7.0,8.0,1702.3,11.3,210.3,0.4616,Low Risk,0
8,53.1,22.77142857142857,1.79,23.1,97,1.8,7.6,1702.1,10.9,212.0,0.4537,Low Risk,0
8,67.4,22.742857142857144,2.17,21.5,98,30.0,10.0,1701.0,11.4,209.7,0.4334,Low Risk,0
8,78.8,22.41428571428571,2.18,21.4,98,17.4,10.1,1705.2,10.9,209.6,0.4595,Low Risk,0
8,190.0,22.02857142857143,1.12,19.3,99,117.7,5.8,1703.0,10.7,209.0,0.4274,Low Risk,0
8,222.9,21.685714285714287,1.48,20.2,100,42.9,7.4,1699.0,10.8,210.4,0.45,Low Risk,0
8,262.1,21.300000000000004,1.25,21.0,100,45.3,6.0,1702.3,10.8,209.2,0.4659,Low Risk,0
