Elevation_m,Slope_deg,Baseline_NDVI,Rainfall_Day_0_mm,Rainfall_Antecedent_3D_mm,Rainfall_Antecedent_7D_mm,Rainfall_Antecedent_15D_mm,Soil_Moisture_Surface,Soil_Moisture_Deep,Month_Sin,Month_Cos,Aspect_Sin,Aspect_Cos,Soil_Moisture_Gradient,Rain_Slope_Interaction,Total_15D_Water_Load
655.5613738,3.879315852,0.106779192,0,0.5,2.1,7,0.225,0.31,-0.866025404,0.5,-0.35824569,0.933627348,-0.085,0,7
651.8022066,6.845649432,0.105392507,0,0,2.1,7,0.22,0.309,-0.866025404,0.5,-0.302979456,0.952997088,-0.089,0,7
658.5076151,6.788026065,0.086196377,0,0,1.5,7,0.215,0.308,-0.866025404,0.5,-0.133590858,0.99103657,-0.093,0,7
651.2021715,3.082407616,0.10603065,0,0,0.5,6.5,0.211,0.308,-0.866025404,0.5,-0.115585082,0.993297583,-0.097,0,6.5
656.7890689,5.16175172,0.103243101,0,0,0.5,4.8,0.207,0.307,-0.866025404,0.5,-0.150914784,0.988546776,-0.1,0,4.8
652.6459881,6.197298087,0.092531293,0,0,0,2.4,0.204,0.306,-0.866025404,0.5,-0.341418689,0.939911315,-0.102,0,2.4
657.3340088,5.913209303,0.086862607,0,0,0,2.1,0.201,0.305,-0.866025404,0.5,-0.282189364,0.959358725,-0.104,0,2.1
658.2310571,3.018351039,0.085739365,0,0,0,2.1,0.199,0.305,-0.866025404,0.5,-0.317401746,0.948291164,-0.106,0,2.1
650.8701556,4.108722265,0.107524419,0,0,0,2.1,0.198,0.304,-0.866025404,0.5,-0.134005679,0.990980564,-0.106,0,2.1
653.9147704,5.559881973,0.10738188,0,0,0,2.1,0.196,0.303,-0.866025404,0.5,-0.089343703,0.996000855,-0.107,0,2.1
650.5436587,5.421682548,0.102325584,0,0,0,1.5,0.195,0.303,-0.866025404,0.5,-0.186413694,0.982471341,-0.108,0,1.5
656.0582523,6.570133747,0.112648693,0,0,0,0.5,0.195,0.302,-0.866025404,0.5,-0.339964642,0.940438218,-0.107,0,0.5
657.3223808,2.780395162,0.140193049,0,0,0,0.5,0.194,0.302,-0.866025404,0.5,-0.098144171,0.995172207,-0.108,0,0.5
652.8946794,4.901786127,0.102615119,0,0,0,0,0.193,0.301,-0.866025404,0.5,-0.246712709,0.969088664,-0.108,0,0
652.967509,6.744743784,0.131497202,0,0,0,0,0.193,0.301,-0.866025404,0.5,-0.333928239,0.942598499,-0.108,0,0
651.0383978,7.468292905,0.087242072,0,0,0,0,0.192,0.3,-0.866025404,0.5,-0.183778513,0.982967679,-0.108,0,0
652.0653466,3.142477824,0.140640865,0,0,0,0,0.192,0.3,-0.866025404,0.5,-0.363649755,0.931535751,-0.108,0,0
652.2389306,5.729537961,0.103960944,0,0,0,0,0.193,0.299,-0.866025404,0.5,-0.191079978,0.981574471,-0.106,0,0
650.5557428,2.506656355,0.105974323,0.9,0,0,0,0.202,0.299,-0.866025404,0.5,-0.062251063,0.998060522,-0.097,2.255990719,0.9
652.0995223,4.247648915,0.111497932,0,0.9,0.9,0.9,0.208,0.299,-0.866025404,0.5,-0.193020518,0.981194721,-0.091,0,0.9
658.072569,4.723757049,0.101495855,0,0.9,0.9,0.9,0.205,0.298,-0.866025404,0.5,-0.102138012,0.994770238,-0.093,0,0.9
652.2538583,4.229325815,0.138732245,0,0.9,0.9,0.9,0.203,0.298,-0.866025404,0.5,-0.099245046,0.995063024,-0.095,0,0.9
651.7443719,5.622546452,0.087684966,0,0,0.9,0.9,0.2,0.298,-0.5,0.866025404,-0.336483474,0.941689371,-0.098,0,0.9
652.8464228,2.576899272,0.089006294,0,0,0.9,0.9,0.198,0.297,-0.5,0.866025404,-0.166710091,0.986005956,-0.099,0,0.9
658.6027304,7.041285187,0.108023437,0,0,0.9,0.9,0.197,0.297,-0.5,0.866025404,-0.213347428,0.976976394,-0.1,0,0.9
656.6457913,4.092632362,0.094675172,0,0,0.9,0.9,0.195,0.297,-0.5,0.866025404,-0.375923762,0.926650595,-0.102,0,0.9
651.0173832,3.251808496,0.129975961,0,0,0,0.9,0.194,0.296,-0.5,0.866025404,-0.330396019,0.943842397,-0.102,0,0.9
656.525516,4.665956222,0.098904899,0,0,0,0.9,0.193,0.296,-0.5,0.866025404,-0.335411788,0.942071618,-0.103,0,0.9
656.6623484,5.069930411,0.101852354,0,0,0,0.9,0.192,0.296,-0.5,0.866025404,-0.183944274,0.982936674,-0.104,0,0.9
658.5013707,2.76009807,0.100275634,0,0,0,0.9,0.192,0.295,-0.5,0.866025404,-0.339516083,0.940600249,-0.103,0,0.9
657.9109511,6.495399762,0.138763201,0,0,0,0.9,0.192,0.295,-0.5,0.866025404,-0.290907998,0.956751032,-0.103,0,0.9
649.9519498,6.18721591,0.134186918,0,0,0,0.9,0.192,0.295,-0.5,0.866025404,-0.355743321,0.934583699,-0.103,0,0.9
653.5457654,5.058976955,0.117174629,4.3,0,0,0.9,0.205,0.295,-0.5,0.866025404,-0.370963159,0.928647584,-0.09,21.75360091,5.2
656.0299358,3.429818987,0.084927737,0,4.3,4.3,5.2,0.211,0.294,-0.5,0.866025404,-0.053287045,0.998579236,-0.083,0,5.2
658.733688,7.132906328,0.104501322,0,4.3,4.3,4.3,0.208,0.294,-0.5,0.866025404,-0.26012421,0.965575163,-0.086,0,4.3
649.8515472,6.470875853,0.113425002,0,4.3,4.3,4.3,0.205,0.294,-0.5,0.866025404,-0.22436961,0.974504119,-0.089,0,4.3
652.6823275,3.668566697,0.116042246,7.3,0,4.3,4.3,0.269,0.294,-0.5,0.866025404,-0.378992034,0.925399934,-0.025,26.78053689,11.6
653.922238,6.179930992,0.099606525,0,7.3,11.6,11.6,0.336,0.294,-0.5,0.866025404,-0.338660082,0.940908789,0.042,0,11.6
653.1324419,3.006825054,0.122804183,0,7.3,11.6,11.6,0.326,0.295,-0.5,0.866025404,-0.191190491,0.981552951,0.031,0,11.6
653.5577844,3.092225567,0.096262238,0,7.3,11.6,11.6,0.317,0.295,-0.5,0.866025404,-0.258727787,0.965950274,0.022,0,11.6
652.6910214,4.722947125,0.113274345,2.1,0,7.3,11.6,0.352,0.295,-0.5,0.866025404,-0.186631118,0.982430061,0.057,9.918188963,13.7
658.7062261,6.008630586,0.107850139,0,2.1,9.4,13.7,0.357,0.296,-0.5,0.866025404,-0.289001423,0.957328667,0.061,0,13.7
657.0324478,7.086491901,0.105889233,0,2.1,9.4,13.7,0.344,0.297,-0.5,0.866025404,-0.227819841,0.973703302,0.047,0,13.7
656.3665991,7.35494302,0.107354685,0,2.1,9.4,13.7,0.333,0.297,-0.5,0.866025404,-0.08349173,0.99650847,0.036,0,13.7
653.1070136,5.959544109,0.111594154,0,0,2.1,13.7,0.323,0.297,-0.5,0.866025404,-0.185038966,0.982731185,0.026,0,13.7
657.8152358,6.416003338,0.099533801,0,0,2.1,13.7,0.314,0.297,-0.5,0.866025404,-0.15228001,0.988337391,0.017,0,13.7
649.9333929,5.052223439,0.099661019,0,0,2.1,13.7,0.305,0.297,-0.5,0.866025404,-0.078360221,0.99692511,0.008,0,13.7
650.4341853,2.779576899,0.09714388,0,0,2.1,13.7,0.299,0.297,-0.5,0.866025404,-0.151079693,0.988521586,0.002,0,13.7
658.5405785,3.126471587,0.124722476,0,0,0,9.4,0.294,0.297,-0.5,0.866025404,-0.174597128,0.984639956,-0.003,0,9.4
654.669883,7.353923285,0.100133181,0,0,0,9.4,0.288,0.297,-0.5,0.866025404,-0.103317878,0.994648388,-0.009,0,9.4
650.5945778,4.465005042,0.086346222,0,0,0,9.4,0.282,0.297,-0.5,0.866025404,-0.158907095,0.987293541,-0.015,0,9.4
658.4914571,6.359352984,0.11097204,0,0,0,9.4,0.275,0.297,-0.5,0.866025404,-0.190045068,0.981775368,-0.022,0,9.4
658.7484327,3.602346342,0.114486708,0,0,0,2.1,0.268,0.296,-0.5,0.866025404,-0.312343728,0.949969155,-0.028,0,2.1
657.8149307,5.164559394,0.142238068,0,0,0,2.1,0.263,0.296,0,1,-0.382320955,0.924029592,-0.033,0,2.1
651.3855785,3.263446537,0.122663788,0,0,0,2.1,0.257,0.296,0,1,-0.251793685,0.967780936,-0.039,0,2.1
651.7849399,6.54363814,0.091148259,0,0,0,2.1,0.252,0.296,0,1,-0.115080157,0.993356209,-0.044,0,2.1
653.0697285,3.340325126,0.111831202,0,0,0,0,0.247,0.296,0,1,-0.21709482,0.976150521,-0.049,0,0
654.7932173,6.029685044,0.12973934,0,0,0,0,0.242,0.295,0,1,-0.363614462,0.931549528,-0.053,0,0
658.9218141,3.25454824,0.134461885,0,0,0,0,0.237,0.295,0,1,-0.245117472,0.969493386,-0.058,0,0
658.5613355,6.593321878,0.122280051,0,0,0,0,0.233,0.295,0,1,-0.189179453,0.981942531,-0.062,0,0
658.2113906,5.014584551,0.138580029,0,0,0,0,0.229,0.295,0,1,-0.31328518,0.949659095,-0.066,0,0
649.892763,4.562134724,0.116791813,0,0,0,0,0.224,0.295,0,1,-0.363562077,0.931569974,-0.071,0,0
656.5716635,4.183910768,0.107641143,0,0,0,0,0.221,0.294,0,1,-0.205215176,0.97871688,-0.073,0,0
657.7684586,5.938630321,0.113968597,0,0,0,0,0.217,0.294,0,1,-0.362323021,0.932052589,-0.077,0,0
652.3327953,2.940261533,0.087631884,0,0,0,0,0.214,0.294,0,1,-0.386921154,0.922112803,-0.08,0,0
651.1957403,6.780987423,0.085384692,0,0,0,0,0.211,0.293,0,1,-0.142481174,0.989797512,-0.082,0,0
656.4844149,6.306222732,0.121010874,2,0,0,0,0.22,0.293,0,1,-0.239104064,0.970993948,-0.073,12.61244546,2
649.9083776,4.364740541,0.098524277,9.2,2,2,2,0.284,0.293,0,1,-0.377343902,0.926073204,-0.009,40.15561297,11.2
658.408582,7.388170626,0.109601011,0.6,11.2,11.2,11.2,0.412,0.297,0,1,-0.191800761,0.981433884,0.115,4.432902376,11.8
650.5607764,6.66030759,0.126024089,2.1,11.8,11.8,11.8,0.411,0.304,0,1,-0.386473186,0.922300643,0.107,13.98664594,13.9
653.5753785,3.854103256,0.107650301,10.1,11.9,13.9,13.9,0.451,0.315,0,1,-0.283533417,0.958962357,0.136,38.92644289,24
658.8279785,6.938683239,0.12464886,3.1,12.8,24,24,0.456,0.338,0,1,-0.335043372,0.942202706,0.118,21.50991804,27.1
658.8822022,2.994857534,0.110355622,1.8,15.3,27.1,27.1,0.44,0.352,0,1,-0.260357848,0.965512191,0.088,5.390743561,28.9
656.7599029,5.947858626,0.086578981,0,15,28.9,28.9,0.425,0.358,0,1,-0.386101107,0.922456468,0.067,0,28.9
657.3918848,3.156717822,0.135391774,0,4.9,26.9,28.9,0.405,0.36,0,1,-0.062245743,0.998060854,0.045,0,28.9
658.6717074,7.379623332,0.131935276,0.4,1.8,17.7,28.9,0.391,0.361,0,1,-0.342636247,0.939468149,0.03,2.951849333,29.3
658.2742951,2.748495135,0.121469204,0,0.4,17.5,29.3,0.379,0.36,0,1,-0.066933596,0.997757432,0.019,0,29.3
655.2210863,3.663809164,0.114504189,0,0.4,15.4,29.3,0.369,0.359,0,1,-0.222846606,0.974853523,0.01,0,29.3
656.3461698,5.150646273,0.090629123,0,0.4,5.3,29.3,0.363,0.358,0,1,-0.368902147,0.929468238,0.005,0,29.3
654.9377655,5.419812314,0.125175266,11.8,0,2.2,29.3,0.424,0.36,0,1,-0.094160798,0.995557002,0.064,63.9537853,41.1
654.0649527,5.06457195,0.084800394,0,11.8,12.2,41.1,0.446,0.373,0,1,-0.25407433,0.967184695,0.073,0,41.1
657.8082902,6.200488511,0.105876051,0.4,11.8,12.2,41.1,0.43,0.378,0,1,-0.34302905,0.939324795,0.052,2.480195404,41.5
656.3802511,2.507774574,0.116431373,0,12.2,12.6,39.5,0.417,0.379,0,1,-0.30217839,0.953251394,0.038,0,39.5
657.5981617,5.319081704,0.128169855,0,0.4,12.2,30.3,0.405,0.379,0,1,-0.294550579,0.955635891,0.026,0,30.3
649.9591096,5.574775694,0.106732411,0,0.4,12.2,29.7,0.393,0.378,0.5,0.866025404,-0.187894715,0.982189175,0.015,0,29.7
654.7648517,3.545373893,0.121085161,0,0,12.2,27.6,0.381,0.377,0.5,0.866025404,-0.062135656,0.998067713,0.004,0,27.6
652.2951683,5.795683628,0.088629561,0,0,12.2,17.5,0.369,0.375,0.5,0.866025404,-0.330177515,0.943918857,-0.006,0,17.5
654.1339398,5.769906957,0.127522962,0,0,0.4,14.4,0.357,0.373,0.5,0.866025404,-0.32133677,0.946964984,-0.016,0,14.4
655.1296544,5.150776537,0.096724965,2.8,0,0.4,12.6,0.348,0.371,0.5,0.866025404,-0.063037436,0.998011163,-0.023,14.4221743,15.4
657.4575847,3.79644584,0.085108148,6.5,2.8,2.8,15.4,0.404,0.37,0.5,0.866025404,-0.319017103,0.947748958,0.034,24.67689796,21.9
649.3187772,4.582816997,0.123615771,4.4,9.3,9.3,21.9,0.457,0.378,0.5,0.866025404,-0.315626701,0.948883441,0.079,20.16439479,26.3
650.6398337,3.862232925,0.088523278,4.9,13.7,13.7,25.9,0.471,0.397,0.5,0.866025404,-0.055268387,0.998471535,0.074,18.92494133,30.8
658.2144574,6.348623874,0.111877293,18.3,15.8,18.6,30.8,0.501,0.453,0.5,0.866025404,-0.171997283,0.985097424,0.048,116.1798169,49.1
658.6727071,5.593000706,0.136285521,0,27.6,36.9,49.1,0.473,0.467,0.5,0.866025404,-0.289910108,0.95705388,0.006,0,49.1
649.5542268,3.256067791,0.106696659,24.1,23.2,36.9,49.1,0.485,0.472,0.5,0.866025404,-0.311636426,0.95020142,0.013,78.47123376,73.2
652.3178754,5.338051239,0.124117355,3.2,42.4,61,61.4,0.482,0.479,0.5,0.866025404,-0.232394327,0.972621652,0.003,17.08176396,64.6
649.0972997,7.016294208,0.138230225,0,27.3,61.4,64.6,0.472,0.473,0.5,0.866025404,-0.285528542,0.958370206,-0.001,0,64.6
656.5744801,6.663991742,0.128778524,0,27.3,54.9,64.2,0.453,0.464,0.5,0.866025404,-0.387791763,0.921747009,-0.011,0,64.2
655.8194018,6.956023691,0.116179897,0,3.2,50.5,64.2,0.439,0.455,0.5,0.866025404,-0.368185345,0.929752414,-0.016,0,64.2
654.6480512,7.085039541,0.108002033,0,0,45.6,64.2,0.428,0.447,0.5,0.866025404,-0.211508816,0.97737609,-0.019,0,64.2
655.9166117,3.441042853,0.138871923,1.6,0,27.3,64.2,0.434,0.441,0.5,0.866025404,-0.304790468,0.95241943,-0.007,5.505668564,65.8
654.3779121,6.098160428,0.099918963,0,1.6,28.9,65.8,0.44,0.439,0.5,0.866025404,-0.072535758,0.997365813,0.001,0,65.8
651.3884118,5.721817149,0.118743263,0,1.6,4.8,65.8,0.424,0.434,0.5,0.866025404,-0.158069857,0.987427932,-0.01,0,65.8
656.5433373,2.666949224,0.13522262,0,1.6,1.6,65.8,0.411,0.429,0.5,0.866025404,-0.060072456,0.998194019,-0.018,0,65.8
656.8327777,6.391027261,0.098398069,0,0,1.6,63,0.401,0.425,0.5,0.866025404,-0.12010497,0.992761198,-0.024,0,63
657.5420189,3.535964933,0.1118621,3.5,0,1.6,56.5,0.402,0.42,0.5,0.866025404,-0.287842067,0.957677892,-0.018,12.37587727,60
658.5407668,7.085044566,0.132549437,15.2,3.5,5.1,55.6,0.494,0.439,0.5,0.866025404,-0.141053125,0.990002028,0.055,107.6926774,70.8
656.4754161,6.676390796,0.113809952,1.4,18.7,20.3,65.9,0.488,0.473,0.5,0.866025404,-0.236951961,0.971521368,0.015,9.346947115,67.3
649.5454979,6.344467277,0.115490114,6.5,20.1,20.1,49,0.504,0.487,0.5,0.866025404,-0.220313726,0.975429066,0.017,41.2390373,55.5
649.2083857,5.983922715,0.112968819,0.1,23.1,26.6,55.5,0.48,0.484,0.5,0.866025404,-0.214809658,0.976655933,-0.004,0.598392272,55.6
656.3987067,4.850408187,0.112386583,0,8,26.7,31.5,0.461,0.472,0.5,0.866025404,-0.161835935,0.986817678,-0.011,0,31.5
649.5605096,6.489220889,0.141839051,0,6.6,26.7,28.3,0.447,0.462,0.5,0.866025404,-0.271878974,0.962331452,-0.015,0,28.3
652.159446,6.596157764,0.132306198,15.6,0.1,26.7,28.3,0.491,0.471,0.866025404,0.5,-0.127348915,0.991857981,0.02,102.9000611,43.9
650.3615989,2.992403097,0.124019642,50.9,15.6,38.8,43.9,0.483,0.501,0.866025404,0.5,-0.334236995,0.942489062,-0.018,152.3133176,94.8
658.688999,4.155289757,0.120549379,0.3,66.5,74.5,94.8,0.441,0.481,0.866025404,0.5,-0.273153462,0.961970471,-0.04,1.246586927,95.1
652.1639416,4.083260534,0.086847811,0,66.8,73.4,95.1,0.441,0.468,0.866025404,0.5,-0.164726095,0.98633935,-0.027,0,95.1
649.5514691,3.123082253,0.131330559,0,51.2,66.9,93.5,0.433,0.46,0.866025404,0.5,-0.105982594,0.994367985,-0.027,0,93.5
658.4960754,7.378952281,0.114878679,0,0.3,66.8,93.5,0.423,0.452,0.866025404,0.5,-0.102373621,0.994746019,-0.029,0,93.5
655.0874438,5.417972294,0.144617958,0,0,66.8,93.5,0.412,0.445,0.866025404,0.5,-0.280236918,0.959930867,-0.033,0,93.5
649.3610907,5.448989755,0.115933289,8.8,0,66.8,93.5,0.422,0.44,0.866025404,0.5,-0.251617041,0.967826877,-0.018,47.95110985,102.3
657.3336104,4.412280677,0.125528742,0.3,8.8,60,102.3,0.439,0.438,0.866025404,0.5,-0.304988033,0.952356183,0.001,1.323684203,102.6
650.525287,6.343423624,0.13464994,3.4,9.1,9.4,99.1,0.457,0.438,0.866025404,0.5,-0.183777184,0.982967928,0.019,21.56764032,102.5
657.0243627,4.878249464,0.095942582,0,12.5,12.5,87.3,0.448,0.44,0.866025404,0.5,-0.267513453,0.963554125,0.008,0,87.3
655.0275175,6.211236765,0.117909611,0,3.7,12.5,85.9,0.425,0.437,0.866025404,0.5,-0.07759759,0.996984761,-0.012,0,85.9
650.7711521,6.890080241,0.14350474,0,3.4,12.5,79.4,0.41,0.433,0.866025404,0.5,-0.275485814,0.961305137,-0.023,0,79.4
656.5259805,5.78462547,0.099912628,0,0,12.5,79.3,0.395,0.428,0.866025404,0.5,-0.164293682,0.986411469,-0.033,0,79.3
653.5450498,5.615628426,0.142982036,0,0,12.5,79.3,0.38,0.422,0.866025404,0.5,-0.167973301,0.985791545,-0.042,0,79.3
655.3810094,6.434585977,0.135852787,0,0,3.7,79.3,0.37,0.417,0.866025404,0.5,-0.226991152,0.973896821,-0.047,0,79.3
657.6951417,5.01505381,0.132812124,0,0,3.4,63.7,0.361,0.412,0.866025404,0.5,-0.383922593,0.923365281,-0.051,0,63.7
651.6029812,6.558207921,0.093672381,0,0,0,12.8,0.348,0.407,0.866025404,0.5,-0.294710511,0.955586582,-0.059,0,12.8
652.6597134,2.962494162,0.092885447,0,0,0,12.5,0.338,0.402,0.866025404,0.5,-0.15412702,0.988051042,-0.064,0,12.5
658.9727179,3.709634566,0.134898473,0,0,0,12.5,0.34,0.398,0.866025404,0.5,-0.255247805,0.966875668,-0.058,0,12.5
654.0811447,7.122976306,0.122681179,4.1,0,0,12.5,0.368,0.395,0.866025404,0.5,-0.368295336,0.92970885,-0.027,29.20420285,16.6
654.5850267,3.355970836,0.117322029,0,4.1,4.1,16.6,0.403,0.394,0.866025404,0.5,-0.087895581,0.996129694,0.009,0,16.6
651.8543854,4.765324931,0.14142178,0.9,4.1,4.1,16.6,0.401,0.393,0.866025404,0.5,-0.195763204,0.980651196,0.008,4.288792438,17.5
653.1602725,4.903609842,0.09371329,1.6,5,5,8.7,0.424,0.394,0.866025404,0.5,-0.364028733,0.931387718,0.03,7.845775747,10.3
654.0155175,4.587590457,0.141526969,4.1,2.5,6.6,10,0.441,0.396,0.866025404,0.5,-0.375813268,0.926695413,0.045,18.80912087,14.1
651.5844473,6.834545135,0.117850255,0.1,6.6,10.7,10.7,0.435,0.401,0.866025404,0.5,-0.359814074,0.933024026,0.034,0.683454514,10.8
651.3814551,6.248680291,0.09347193,0,5.8,10.8,10.8,0.41,0.401,0.866025404,0.5,-0.052712135,0.998609749,0.009,0,10.8
655.0046682,6.551031307,0.111001856,0,4.2,10.8,10.8,0.386,0.398,0.866025404,0.5,-0.298320383,0.954465793,-0.012,0,10.8
650.8365144,7.456478183,0.130423005,0,0.1,6.7,10.8,0.363,0.394,0.866025404,0.5,-0.155469059,0.987840762,-0.031,0,10.8
654.5345773,7.374101949,0.090323535,0,0,6.7,10.8,0.342,0.39,0.866025404,0.5,-0.336343727,0.941739294,-0.048,0,10.8
656.0621402,6.960526695,0.14005551,0.6,0,5.8,10.8,0.326,0.386,0.866025404,0.5,-0.305573013,0.952168648,-0.06,4.176316017,11.4
