Elevation_m,Slope_deg,Baseline_NDVI,Rainfall_Day_0_mm,Rainfall_Antecedent_3D_mm,Rainfall_Antecedent_7D_mm,Rainfall_Antecedent_15D_mm,Soil_Moisture_Surface,Soil_Moisture_Deep,Month_Sin,Month_Cos,Aspect_Sin,Aspect_Cos,Soil_Moisture_Gradient,Rain_Slope_Interaction,Total_15D_Water_Load,Rain_norm,Slope_norm,Moisture_norm,Risk_Score,Landslide_Level
649.9106499,6.115730582,0.107381828,0.0,0.8,6.8,20.8,0.308,0.351,-1.0,-1.84e-16,-0.092627331,0.995700847,-0.043,0.0,20.8,0.03768115942028986,0.1027949239328048,0.6027397260273972,22.673285875617655,0
653.5419805,4.480168157,0.105296519,0.0,0.8,2.6,20.1,0.297,0.349,-1.0,-1.84e-16,-0.081007129,0.996713522,-0.052,0.0,20.1,0.036413043478260874,0.07530392955184453,0.5812133072407044,21.152038842906904,0
657.5415944,4.783228655,0.140028335,0.0,0.8,0.8,20.1,0.283,0.346,-1.0,-1.84e-16,-0.206621235,0.978421006,-0.063,0.0,20.1,0.036413043478260874,0.0803978558491603,0.5538160469667318,20.4829388236072,0
654.6978774,5.795103828,0.0855204,0.0,0.0,0.8,20.1,0.27,0.344,-1.0,-1.84e-16,-0.267855204,0.963459179,-0.074,0.0,20.1,0.036413043478260874,0.09740573905189173,0.5283757338551859,20.229965926342764,0
654.2033354,5.911849033,0.133816843,0.0,0.0,0.8,17.8,0.259,0.341,-1.0,-1.84e-16,-0.192898328,0.98121875,-0.082,0.0,17.8,0.0322463768115942,0.09936802537346642,0.5068493150684932,19.476375285722558,0
652.6610689,4.687661013,0.088044134,0.0,0.0,0.8,17.6,0.25,0.339,-1.0,-1.84e-16,-0.210291072,0.977638821,-0.089,0.0,17.6,0.0318840579710145,0.0787915279774353,0.4892367906066536,18.316211876363248,0
649.6360988,2.760719589,0.135166256,0.0,0.0,0.8,15.5,0.245,0.337,-1.0,-1.84e-16,-0.06061001,0.998161523,-0.092,0.0,15.5,0.028079710144927536,0.04640295322791234,0.4794520547945205,16.89883864647009,0
656.6640967,3.795431522,0.110989559,0.0,0.0,0.0,12.1,0.241,0.335,-1.0,-1.84e-16,-0.27533832,0.961347393,-0.094,0.0,12.1,0.021920289855072463,0.06379468313147472,0.47162426614481406,16.939380072491563,0
654.7076607,7.220076321,0.123302433,0.0,0.0,0.0,6.8,0.234,0.333,-1.0,-1.84e-16,-0.192497711,0.981297423,-0.099,0.0,6.8,0.012318840579710144,0.1213570784806426,0.4579256360078278,17.87123505784252,0
658.3096551,7.137048533,0.095531712,0.0,0.0,0.0,2.6,0.227,0.331,-1.0,-1.84e-16,-0.216598331,0.976260807,-0.104,0.0,2.6,0.004710144927536232,0.11996152401052107,0.4442270058708415,17.114061693542325,0
653.3196522,5.748243163,0.132697699,0.0,0.0,0.0,0.8,0.222,0.329,-1.0,-1.84e-16,-0.335245029,0.942130973,-0.107,0.0,0.8,0.0014492753623188406,0.09661809178235808,0.4344422700587084,15.989781869724744,0
653.0149964,3.426185597,0.114010893,1.1,0.0,0.0,0.8,0.223,0.328,-1.0,-1.84e-16,-0.095906941,0.995390305,-0.105,3.768804156,1.9,0.0014492753623188406,0.057588293516374914,0.436399217221135,14.877596336618048,0
658.7434699,2.978544463,0.087619175,0.3,1.1,1.1,1.9,0.226,0.327,-1.0,-1.84e-16,-0.323207305,0.946328187,-0.101,0.893563339,2.2,0.0034420289855072463,0.05006421512512631,0.4422700587084149,14.907709374426526,0
650.4115749,7.247630135,0.132725356,0.0,1.4,1.4,2.2,0.222,0.325,-1.0,-1.84e-16,-0.189044476,0.981968526,-0.103,0.0,2.2,0.003985507246376812,0.12182021075506376,0.4344422700587084,16.847294714268234,0
651.5236153,6.865839014,0.12924397,0.0,1.4,1.4,2.2,0.219,0.323,-1.0,-1.84e-16,-0.273770215,0.961795129,-0.104,0.0,2.2,0.003985507246376812,0.11540295794851832,0.42857142857142855,16.478651885453477,0
653.8816422,4.489639122,0.130760787,0.0,0.3,1.4,1.4,0.217,0.322,-1.0,-1.84e-16,-0.105536273,0.994415454,-0.105,0.0,1.4,0.002536231884057971,0.07546312020187264,0.4246575342465753,15.105068908815756,0
654.235443,5.648011587,0.113170313,0.5,0.0,1.4,1.4,0.215,0.321,-1.0,-1.84e-16,-0.105048268,0.994467124,-0.106,2.824005794,1.9,0.002536231884057971,0.09493337119297991,0.4207436399217221,15.57175960880338,0
654.4871662,7.070759616,0.085865692,1.7,0.5,1.9,1.9,0.219,0.32,-1.0,-1.84e-16,-0.344626206,0.938739995,-0.101,12.02029135,3.6,0.0034420289855072463,0.11884732120363835,0.42857142857142855,16.560243652672295,0
651.1210993,3.190769873,0.137315031,2.4,2.2,3.6,3.6,0.246,0.319,-1.0,-1.84e-16,-0.068786368,0.997631413,-0.073,7.657847696,6.0,0.006521739130434783,0.05363135965267742,0.48140900195694714,16.312080413506127,0
658.2684805,5.681312576,0.122870664,0.3,4.6,4.9,6.0,0.253,0.318,-1.0,-1.84e-16,-0.343540536,0.939137849,-0.065,1.704393773,6.3,0.010869565217391304,0.09549310360519855,0.49510763209393344,18.15280467966961,0
656.035021,7.097427288,0.138143562,0.0,4.4,4.9,6.3,0.249,0.317,-1.0,-1.84e-16,-0.240382701,0.970678195,-0.068,0.0,6.3,0.01141304347826087,0.1192955589534786,0.487279843444227,18.653783811061604,0
651.5843985,6.682620305,0.097757797,0.0,2.7,4.9,6.3,0.241,0.316,-0.866025404,0.5,-0.157014617,0.987596279,-0.075,0.0,6.3,0.01141304347826087,0.11232336622972118,0.47162426614481406,17.974950710366493,0
651.94193,3.93563907,0.126528891,0.0,0.3,4.9,6.3,0.233,0.315,-0.866025404,0.5,-0.256762866,0.966474433,-0.082,0.0,6.3,0.01141304347826087,0.06615133112932552,0.4559686888454012,16.120122338372237,0
657.8035847,7.260235905,0.141598645,0.6,0.0,4.9,6.3,0.226,0.314,-0.866025404,0.5,-0.206333605,0.978481703,-0.088,4.356141543,6.9,0.01141304347826087,0.12203209209138004,0.4422700587084149,17.38558626312428,0
652.8035541,3.515815471,0.144579298,1.0,0.6,5.0,6.9,0.244,0.314,-0.866025404,0.5,-0.053628403,0.998560962,-0.07,3.515815471,7.9,0.0125,0.059094817709421335,0.4774951076320939,16.597697760245456,0
654.5636336,3.542866996,0.104123085,0.0,1.6,4.3,7.9,0.246,0.313,-0.866025404,0.5,-0.306335277,0.951923683,-0.067,0.0,7.9,0.01431159420289855,0.05954950736871172,0.48140900195694714,16.801219047885706,0
650.2042678,2.983039777,0.124179301,0.5,1.6,1.9,7.9,0.241,0.312,-0.866025404,0.5,-0.134948935,0.990852555,-0.071,1.491519888,8.4,0.01431159420289855,0.05013977363027762,0.47162426614481406,16.225384961368693,0
651.517328,3.090592098,0.109521937,0.0,1.5,2.1,7.3,0.237,0.311,-0.866025404,0.5,-0.170576501,0.985344436,-0.074,0.0,7.3,0.01322463768115942,0.05194754336567627,0.4637964774951076,16.001306133069892,0
653.1657669,6.308266349,0.142869306,0.0,0.5,2.1,7.0,0.231,0.31,-0.866025404,0.5,-0.07071804,0.997496345,-0.079,0.0,7.0,0.012681159420289856,0.10603111938938047,0.452054794520548,17.24982379410945,0
655.5613738,3.879315852,0.106779192,0.0,0.5,2.1,7.0,0.225,0.31,-0.866025404,0.5,-0.35824569,0.933627348,-0.085,0.0,7.0,0.012681159420289856,0.06520463460103151,0.44031311154598823,15.672778761222187,0
651.8022066,6.845649432,0.105392507,0.0,0.0,2.1,7.0,0.22,0.309,-0.866025404,0.5,-0.302979456,0.952997088,-0.089,0.0,7.0,0.012681159420289856,0.11506360576187467,0.43052837573385516,16.87500582168349,0
658.5076151,6.788026065,0.086196377,0.0,0.0,1.5,7.0,0.215,0.308,-0.866025404,0.5,-0.133590858,0.99103657,-0.093,0.0,7.0,0.012681159420289856,0.11409505596261586,0.4207436399217221,16.552407253341734,0
651.2021715,3.082407616,0.10603065,0.0,0.0,0.5,6.5,0.211,0.308,-0.866025404,0.5,-0.115585082,0.993297583,-0.097,0.0,6.5,0.01177536231884058,0.051809976284631916,0.41291585127201563,14.412789319453049,0
656.7890689,5.16175172,0.103243101,0.0,0.0,0.5,4.8,0.207,0.307,-0.866025404,0.5,-0.150914784,0.988546776,-0.1,0.0,4.8,0.008695652173913044,0.08676017824903987,0.4050880626223092,15.103273313096993,0
652.6459881,6.197298087,0.092531293,0.0,0.0,0.0,2.4,0.204,0.306,-0.866025404,0.5,-0.341418689,0.939911315,-0.102,0.0,2.4,0.004347826086956522,0.10416593355454024,0.39921722113502933,15.275407684165348,0
657.3340088,5.913209303,0.086862607,0.0,0.0,0.0,2.1,0.201,0.305,-0.866025404,0.5,-0.282189364,0.959358725,-0.104,0.0,2.1,0.0038043478260869567,0.09939088917515018,0.39334637964774954,14.934291977730469,0
658.2310571,3.018351039,0.085739365,0.0,0.0,0.0,2.1,0.199,0.305,-0.866025404,0.5,-0.317401746,0.948291164,-0.106,0.0,2.1,0.0038043478260869567,0.05073329527787026,0.3894324853228963,13.357147331066473,0
650.8701556,4.108722265,0.107524419,0.0,0.0,0.0,2.1,0.198,0.304,-0.866025404,0.5,-0.134005679,0.990980564,-0.106,0.0,2.1,0.0038043478260869567,0.06906056227113512,0.3874755381604697,13.848256925991622,0
653.9147704,5.559881973,0.10738188,0.0,0.0,0.0,2.1,0.196,0.303,-0.866025404,0.5,-0.089343703,0.996000855,-0.107,0.0,2.1,0.0038043478260869567,0.09345206379300698,0.3835616438356165,14.462585141902181,0
650.5436587,5.421682548,0.102325584,0.0,0.0,0.0,1.5,0.195,0.303,-0.866025404,0.5,-0.186413694,0.982471341,-0.108,0.0,1.5,0.002717391304347826,0.091129168892724,0.3816046966731898,14.290711619151327,0
656.0582523,6.570133747,0.112648693,0.0,0.0,0.0,0.5,0.195,0.302,-0.866025404,0.5,-0.339964642,0.940438218,-0.107,0.0,0.5,0.0009057971014492754,0.11043266044763428,0.3816046966731898,14.797352597682695,0
657.3223808,2.780395162,0.140193049,0.0,0.0,0.0,0.5,0.194,0.302,-0.866025404,0.5,-0.098144171,0.995172207,-0.108,0.0,0.5,0.0009057971014492754,0.046733665806360805,0.3796477495107632,12.82767434357169,0
652.8946794,4.901786127,0.102615119,0.0,0.0,0.0,0.0,0.193,0.301,-0.866025404,0.5,-0.246712709,0.969088664,-0.108,0.0,0.0,0.0,0.08239060326543385,0.3776908023483366,13.802442168413112,0
652.967509,6.744743784,0.131497202,0.0,0.0,0.0,0.0,0.193,0.301,-0.866025404,0.5,-0.333928239,0.942598499,-0.108,0.0,0.0,0.0,0.11336755518026807,0.3776908023483366,14.73175072585814,0
651.0383978,7.468292905,0.087242072,0.0,0.0,0.0,0.0,0.192,0.3,-0.866025404,0.5,-0.183778513,0.982967679,-0.108,0.0,0.0,0.0,0.12552917280838138,0.37573385518590996,15.03789083982874,0
652.0653466,3.142477824,0.140640865,0.0,0.0,0.0,0.0,0.192,0.3,-0.866025404,0.5,-0.363649755,0.931535751,-0.108,0.0,0.0,0.0,0.05281965327729768,0.37573385518590996,12.856605253896229,0
652.2389306,5.729537961,0.103960944,0.0,0.0,0.0,0.0,0.193,0.299,-0.866025404,0.5,-0.191079978,0.981574471,-0.106,0.0,0.0,0.0,0.0963036894732706,0.3776908023483366,14.219834754648215,0
650.5557428,2.506656355,0.105974323,0.9,0.0,0.0,0.0,0.202,0.299,-0.866025404,0.5,-0.062251063,0.998060522,-0.097,2.255990719,0.9,0.0,0.04213258675852944,0.39530332681017616,13.123077407061167,0
652.0995223,4.247648915,0.111497932,0.0,0.9,0.9,0.9,0.208,0.299,-0.866025404,0.5,-0.193020518,0.981194721,-0.091,0.0,0.9,0.0016304347826086958,0.07139568057425683,0.4070450097847358,14.418438102074123,0
658.072569,4.723757049,0.101495855,0.0,0.9,0.9,0.9,0.205,0.298,-0.866025404,0.5,-0.102138012,0.994770238,-0.093,0.0,0.9,0.0016304347826086958,0.07939824032768444,0.40117416829745595,14.482389650058558,0
652.2538583,4.229325815,0.138732245,0.0,0.9,0.9,0.9,0.203,0.298,-0.866025404,0.5,-0.099245046,0.995063024,-0.095,0.0,0.9,0.0016304347826086958,0.07108770074331777,0.3972602739726028,14.115656632781965,0
651.7443719,5.622546452,0.087684966,0.0,0.0,0.9,0.9,0.2,0.298,-0.5,0.866025404,-0.336483474,0.941689371,-0.098,0.0,0.9,0.0016304347826086958,0.09450534602408708,0.39138943248532293,14.64206074658665,0
652.8464228,2.576899272,0.089006294,0.0,0.0,0.9,0.9,0.198,0.297,-0.5,0.866025404,-0.166710091,0.986005956,-0.099,0.0,0.9,0.0016304347826086958,0.04331324951222975,0.3874755381604697,12.988881021485332,0
658.6027304,7.041285187,0.108023437,0.0,0.0,0.9,0.9,0.197,0.297,-0.5,0.866025404,-0.213347428,0.976976394,-0.1,0.0,0.9,0.0016304347826086958,0.11835190669078596,0.3855185909980431,15.181332321969219,0
656.6457913,4.092632362,0.094675172,0.0,0.0,0.9,0.9,0.195,0.297,-0.5,0.866025404,-0.375923762,0.926650595,-0.102,0.0,0.9,0.0016304347826086958,0.06879011864501476,0.3816046966731898,13.577061850850486,0
651.0173832,3.251808496,0.129975961,0.0,0.0,0.0,0.9,0.194,0.296,-0.5,0.866025404,-0.330396019,0.943842397,-0.102,0.0,0.9,0.0016304347826086958,0.05465731403770468,0.3796477495107632,13.094369297758385,0
656.525516,4.665956222,0.098904899,0.0,0.0,0.0,0.9,0.193,0.296,-0.5,0.866025404,-0.335411788,0.942071618,-0.103,0.0,0.9,0.0016304347826086958,0.07842670773071135,0.3776908023483366,13.748742693675783,0
656.6623484,5.069930411,0.101852354,0.0,0.0,0.0,0.9,0.192,0.296,-0.5,0.866025404,-0.183944274,0.982936674,-0.104,0.0,0.9,0.0016304347826086958,0.0852168197986454,0.37573385518590996,13.893737640841008,0
658.5013707,2.76009807,0.100275634,0.0,0.0,0.0,0.9,0.192,0.295,-0.5,0.866025404,-0.339516083,0.940600249,-0.103,0.0,0.9,0.0016304347826086958,0.04639250656132506,0.37573385518590996,12.729008243721399,0
657.9109511,6.495399762,0.138763201,0.0,0.0,0.0,0.9,0.192,0.295,-0.5,0.866025404,-0.290907998,0.956751032,-0.103,0.0,0.9,0.0016304347826086958,0.1091765105567478,0.37573385518590996,14.612528363584081,0
649.9519498,6.18721591,0.134186918,0.0,0.0,0.0,0.9,0.192,0.295,-0.5,0.866025404,-0.355743321,0.934583699,-0.103,0.0,0.9,0.0016304347826086958,0.10399646948088688,0.37573385518590996,14.457127131308253,0
653.5457654,5.058976955,0.117174629,4.3,0.0,0.0,0.9,0.205,0.295,-0.5,0.866025404,-0.370963159,0.928647584,-0.09,21.75360091,5.2,0.0016304347826086958,0.08503271102190575,0.40117416829745595,14.6514237708852,0
656.0299358,3.429818987,0.084927737,0.0,4.3,4.3,5.2,0.211,0.294,-0.5,0.866025404,-0.053287045,0.998579236,-0.083,0.0,5.2,0.009420289855072464,0.05764936455991753,0.41291585127201563,14.493768069160891,0
658.733688,7.132906328,0.104501322,0.0,4.3,4.3,4.3,0.208,0.294,-0.5,0.866025404,-0.26012421,0.965575163,-0.086,0.0,4.3,0.007789855072463768,0.11989190066099971,0.4070450097847358,16.119701516270613,0
649.8515472,6.470875853,0.113425002,0.0,4.3,4.3,4.3,0.205,0.294,-0.5,0.866025404,-0.22436961,0.974504119,-0.089,0.0,4.3,0.007789855072463768,0.1087643057798386,0.40117416829745595,15.609748425217388,0
652.6823275,3.668566697,0.116042246,7.3,0.0,4.3,4.3,0.269,0.294,-0.5,0.866025404,-0.378992034,0.925399934,-0.025,26.78053689,11.6,0.007789855072463768,0.061662303383745745,0.5264187866927593,17.954026905193704,0
653.922238,6.179930992,0.099606525,0.0,7.3,11.6,11.6,0.336,0.294,-0.5,0.866025404,-0.338660082,0.940908789,0.042,0.0,11.6,0.021014492753623187,0.10387402252518371,0.6575342465753425,23.682827783160715,0
653.1324419,3.006825054,0.122804183,0.0,7.3,11.6,11.6,0.326,0.295,-0.5,0.866025404,-0.191190491,0.981552951,0.031,0.0,11.6,0.021014492753623187,0.05053956327227589,0.6379647749510763,21.495709856845494,0
653.5577844,3.092225567,0.096262238,0.0,7.3,11.6,11.6,0.317,0.295,-0.5,0.866025404,-0.258727787,0.965950274,0.022,0.0,11.6,0.021014492753623187,0.0519749991731796,0.6203522504892368,21.01039720001742,0
652.6910214,4.722947125,0.113274345,2.1,0.0,7.3,11.6,0.352,0.295,-0.5,0.866025404,-0.186631118,0.982430061,0.057,9.918188963,13.7,0.021014492753623187,0.07938462689673698,0.6888454011741683,23.887480552272084,0
658.7062261,6.008630586,0.107850139,0.0,2.1,9.4,13.7,0.357,0.296,-0.5,0.866025404,-0.289001423,0.957328667,0.061,0.0,13.7,0.024818840579710143,0.10099475700353772,0.6986301369863013,24.981500442883576,0
657.0324478,7.086491901,0.105889233,0.0,2.1,9.4,13.7,0.344,0.297,-0.5,0.866025404,-0.227819841,0.973703302,0.047,0.0,13.7,0.024818840579710143,0.11911175388558544,0.6731898238747553,24.761800955998627,0
656.3665991,7.35494302,0.107354685,0.0,2.1,9.4,13.7,0.333,0.297,-0.5,0.866025404,-0.08349173,0.99650847,0.036,0.0,13.7,0.024818840579710143,0.1236239559826662,0.6516634050880626,24.25137445531027,0
653.1070136,5.959544109,0.111594154,0.0,0.0,2.1,13.7,0.323,0.297,-0.5,0.866025404,-0.185038966,0.982731185,0.026,0.0,13.7,0.024818840579710143,0.10016969765834756,0.6320939334637965,22.96066255685273,0
657.8152358,6.416003338,0.099533801,0.0,0.0,2.1,13.7,0.314,0.297,-0.5,0.866025404,-0.15228001,0.988337391,0.017,0.0,13.7,0.024818840579710143,0.10784199307658966,0.6144814090019569,22.662455685544803,0
649.9333929,5.052223439,0.099661019,0.0,0.0,2.1,13.7,0.305,0.297,-0.5,0.866025404,-0.078360221,0.99692511,0.008,0.0,13.7,0.024818840579710143,0.08491919602084565,0.5968688845401174,21.446396040017294,0
650.4341853,2.779576899,0.09714388,0.0,0.0,2.1,13.7,0.299,0.297,-0.5,0.866025404,-0.151079693,0.988521586,0.002,0.0,13.7,0.024818840579710143,0.04671991221115018,0.5851272015655576,19.94816703648964,0
658.5405785,3.126471587,0.124722476,0.0,0.0,0.0,9.4,0.294,0.297,-0.5,0.866025404,-0.174597128,0.984639956,-0.003,0.0,9.4,0.017028985507246377,0.05255061593289469,0.5753424657534246,19.517951870879436,0
654.669883,7.353923285,0.100133181,0.0,0.0,0.0,9.4,0.288,0.297,-0.5,0.866025404,-0.103317878,0.994648388,-0.009,0.0,9.4,0.017028985507246377,0.1236068159892752,0.5636007827788649,21.29738738333406,0
650.5945778,4.465005042,0.086346222,0.0,0.0,0.0,9.4,0.282,0.297,-0.5,0.866025404,-0.158907095,0.987293541,-0.015,0.0,9.4,0.017028985507246377,0.07504906363973309,0.5518590998043053,19.488404323611004,0
658.4914571,6.359352984,0.11097204,0.0,0.0,0.0,9.4,0.275,0.297,-0.5,0.866025404,-0.190045068,0.981775368,-0.022,0.0,9.4,0.017028985507246377,0.10688979795417274,0.538160469667319,20.032667448934603,0
658.7484327,3.602346342,0.114486708,0.0,0.0,0.0,2.1,0.268,0.296,-0.5,0.866025404,-0.312343728,0.949969155,-0.028,0.0,2.1,0.0038043478260869567,0.060549252986289846,0.5244618395303327,17.70250668854215,0
657.8149307,5.164559394,0.142238068,0.0,0.0,0.0,2.1,0.263,0.296,0.0,1.0,-0.382320955,0.924029592,-0.033,0.0,2.1,0.0038043478260869567,0.08680737042524651,0.5146771037181996,18.19670813734686,0
651.3855785,3.263446537,0.122663788,0.0,0.0,0.0,2.1,0.257,0.296,0.0,1.0,-0.251793685,0.967780936,-0.039,0.0,2.1,0.0038043478260869567,0.054852929512140866,0.50293542074364,16.8858244207169,0
651.7849399,6.54363814,0.091148259,0.0,0.0,0.0,2.1,0.252,0.296,0.0,1.0,-0.115080157,0.993356209,-0.044,0.0,2.1,0.0038043478260869567,0.10998731481482718,0.4931506849315068,18.246313905433496,0
653.0697285,3.340325126,0.111831202,0.0,0.0,0.0,0.0,0.247,0.296,0.0,1.0,-0.21709482,0.976150521,-0.049,0.0,0.0,0.0,0.056145126511723535,0.48336594911937375,16.185332268932918,0
654.7932173,6.029685044,0.12973934,0.0,0.0,0.0,0.0,0.242,0.295,0.0,1.0,-0.363614462,0.931549528,-0.053,0.0,0.0,0.0,0.10134864626983836,0.4735812133072407,17.24789578731237,0
658.9218141,3.25454824,0.134461885,0.0,0.0,0.0,0.0,0.237,0.295,0.0,1.0,-0.245117472,0.969493386,-0.058,0.0,0.0,0.0,0.05470336442731868,0.4637964774951076,15.554995257672788,0
658.5613355,6.593321878,0.122280051,0.0,0.0,0.0,0.0,0.233,0.295,0.0,1.0,-0.189179453,0.981942531,-0.062,0.0,0.0,0.0,0.11082241309130117,0.4559686888454012,17.003733058101073,0
658.2113906,5.014584551,0.138580029,0.0,0.0,0.0,0.0,0.229,0.295,0.0,1.0,-0.31328518,0.949659095,-0.066,0.0,0.0,0.0,0.08428655097917835,0.44814090019569475,15.972823535246194,0
649.892763,4.562134724,0.116791813,0.0,0.0,0.0,0.0,0.224,0.295,0.0,1.0,-0.363562077,0.931569974,-0.071,0.0,0.0,0.0,0.07668164672019023,0.4383561643835616,15.451134333112554,0
656.5716635,4.183910768,0.107641143,0.0,0.0,0.0,0.0,0.221,0.294,0.0,1.0,-0.205215176,0.97871688,-0.073,0.0,0.0,0.0,0.07032435182871548,0.4324853228962818,15.084290241749917,0
657.7684586,5.938630321,0.113968597,0.0,0.0,0.0,0.0,0.217,0.294,0.0,1.0,-0.362323021,0.932052589,-0.077,0.0,0.0,0.0,0.09981817281306836,0.4246575342465753,15.734271211789308,0
652.3327953,2.940261533,0.087631884,0.0,0.0,0.0,0.0,0.214,0.294,0.0,1.0,-0.386921154,0.922112803,-0.08,0.0,0.0,0.0,0.04942074484393744,0.4187866927592955,14.046223128096988,0
651.1957403,6.780987423,0.085384692,0.0,0.0,0.0,0.0,0.211,0.293,0.0,1.0,-0.142481174,0.989797512,-0.082,0.0,0.0,0.0,0.11397674848335741,0.41291585127201563,15.806777992661193,0
656.4844149,6.306222732,0.121010874,2.0,0.0,0.0,0.0,0.22,0.293,0.0,1.0,-0.239104064,0.970993948,-0.073,12.61244546,2.0,0.0,0.10599676969865322,0.43052837573385516,16.09575436297525,0
649.9083776,4.364740541,0.098524277,9.2,2.0,2.0,2.0,0.284,0.293,0.0,1.0,-0.377343902,0.926073204,-0.009,40.15561297,11.2,0.0036231884057971015,0.07336378963767182,0.5557729941291585,19.019031049236794,0
658.408582,7.388170626,0.109601011,0.6,11.2,11.2,11.2,0.412,0.297,0.0,1.0,-0.191800761,0.981433884,0.115,4.432902376,11.8,0.020289855072463767,0.12418245495273074,0.8062622309197651,28.724934779073426,0
650.5607764,6.66030759,0.126024089,2.1,11.8,11.8,11.8,0.411,0.304,0.0,1.0,-0.386473186,0.922300643,0.107,13.98664594,13.9,0.0213768115942029,0.11194832782500301,0.8043052837573385,28.342680811238356,0
653.5753785,3.854103256,0.107650301,10.1,11.9,13.9,13.9,0.451,0.315,0.0,1.0,-0.283533417,0.958962357,0.136,38.92644289,24.0,0.025181159420289857,0.06478085417885325,0.8825831702544031,29.428167109809284,0
658.8279785,6.938683239,0.12464886,3.1,12.8,24.0,24.0,0.456,0.338,0.0,1.0,-0.335043372,0.942202706,0.118,21.50991804,27.1,0.043478260869565216,0.11662734422051306,0.8923679060665363,32.00898794339408,1
658.8822022,2.994857534,0.110355622,1.8,15.3,27.1,27.1,0.44,0.352,0.0,1.0,-0.260357848,0.965512191,0.088,5.390743561,28.9,0.04909420289855073,0.05033840982191216,0.8610567514677103,29.305622954630707,0
